ID,last,first
bradf101,Bradley,Foghorn
bushd101,Bushong,Doc
chapj102,Chapman,Jack
cudwj101,Cudworth,Jim
danic901,Daniels,Charles
dosch101,Doscher,Herm
furlb901,Furlong,Bill
gillt902,Gillean,Tom
glenj102,Glenn,John
haweb101,Hawes,Bill
keeft101,Keefe,Tim
libbs101,Libby,Steve
mathb101,Mathews,Bobby
mcleb901,McLean,Billy
murph901,Murphy,Henry
prata101,Pratt,Al
reilc901,Reilly,Charles
remsj101,Remsen,Jack
richj901,Richards,J.M.
rileb101,Riley,Billy
scheg901,Scheu,Gus
skelu901,Skelley,Fred
strig101,Strief,George
sullt101,Sullivan,Ted
tildo901,Tilden,Otis
wadeb901,Wade,Ben
walsm801,Walsh,Mike
whitd102,White,Deacon
