gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,opp,wl,gametype,box
CUW191308021,CUW,0,0,0,1,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,7,,value,42,37,5,8,1,0,1,4,1,0,0,4,0,3,1,0,1,0,2,30,0,48,14,2,1,0,6,6,6,1,4,0,1,0,1,0,2,0,0,30,11,1,2,0,0,1,2,0,chacp101,morac104,villm101,torrc101,hidah101,parpa101,bustl101,figar101,pedre101,pedre101,figar101,parpa101,villm101,morac104,chacp101,bustl101,hidah101,torrc101,,19130802,1,CHI09,NYL,l,exhibition,y
CAG191308090,NYL,0,1,3,5,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,6,,value,44,41,11,14,2,1,0,,0,,0,3,,5,0,,,,,27,,42,10,0,0,1,6,,3,,5,0,0,0,0,,0,,0,27,10,4,0,0,0,0,0,,poles101,hewij102,lloyj101,johng103,benns101,wiled101,granl101,willj109,franb101,willj109,wiled101,granl101,johng103,franb101,lloyj101,benns101,poles101,hewij102,,19130809,0,CHI09,CAG,w,championship,y
CAG191308090,CAG,3,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,,value,42,39,6,10,0,0,1,,0,,0,3,,5,0,,,,,27,,44,14,2,1,0,11,,3,,5,0,0,0,0,,0,,0,27,12,2,1,0,0,0,0,,petwb101,hillp102,taylb108,lindb103,barbj103,taylj105,gateb101,monrb102,hutcf102,gateb101,petwb101,taylb108,monrb102,taylj105,hutcf102,hillp102,lindb103,barbj103,,19130809,0,CHI09,NYL,l,championship,y
CAG191308121,NYL,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,11,,value,41,35,3,10,1,0,0,2,3,0,0,3,0,1,2,0,0,0,2,27,0,36,8,1,0,0,2,2,2,0,4,0,0,0,1,0,4,0,0,27,12,2,0,0,0,0,4,0,poles101,hewij102,lloyj101,johng103,benns101,santl101,granl101,franb101,wadel101,wadel101,santl101,granl101,johng103,franb101,lloyj101,benns101,poles101,hewij102,,19130812,1,CHI09,CAG,w,championship,y
CAG191308121,CAG,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,7,,value,36,33,2,8,1,0,0,2,1,0,0,2,0,4,4,0,0,0,1,27,0,41,10,1,0,0,3,2,3,0,1,0,0,0,3,0,2,0,0,27,14,2,1,0,0,0,2,0,petwb101,hillp102,taylb108,duncf101,barbj103,taylj105,hutcf102,demob102,craws102,craws102,petwb101,taylb108,demob102,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130812,1,CHI09,NYL,l,championship,y
CAG191308122,NYL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,,value,30,27,0,4,1,0,0,0,0,,0,3,,6,0,,,,,24,,34,8,0,0,0,3,,4,,3,0,0,0,0,,0,,0,24,11,2,0,0,0,0,0,,poles101,hewij102,lloyj101,johng103,benns101,wiled101,granl101,willj109,franb101,willj109,wiled101,granl101,johng103,franb101,lloyj101,benns101,poles101,hewij102,,19130812,2,CHI09,CAG,l,championship,y
CAG191308122,CAG,0,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,7,,value,34,30,3,8,0,0,0,0,0,,0,4,,3,0,,,,,27,,30,4,1,0,0,0,0,3,,6,0,0,0,0,,0,,0,27,11,0,0,0,0,0,0,,barbj103,hillp102,taylb108,duncf101,bookp101,taylj105,hutcf102,demob102,taylj104,taylj104,bookp101,taylb108,demob102,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130812,2,CHI09,NYL,w,championship,y
CAG191308130,NYL,0,0,0,0,1,0,0,3,0,,,,,,,,,,,,,,,,,,,,7,,value,38,35,4,11,1,0,0,4,0,0,1,2,0,3,1,1,0,0,1,27,0,40,9,1,0,0,1,1,5,0,2,1,0,0,1,0,3,2,0,27,16,0,0,0,0,0,3,2,poles101,hewij102,gansj101,johng103,benns101,santl101,granl101,wiled101,franb101,gansj101,santl101,granl101,hewij102,franb101,johng103,benns101,poles101,wiled101,,19130813,0,CHI09,CAG,w,championship,y
CAG191308130,CAG,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,12,,value,40,33,1,9,1,0,0,1,1,0,1,5,0,2,3,2,0,0,0,27,0,38,11,1,0,0,4,4,2,0,3,1,0,0,0,0,1,1,0,27,22,0,1,0,0,0,1,1,petwb101,hillp102,taylb108,duncf101,barbj103,taylj105,hutcf102,demob102,gateb101,gateb101,petwb101,taylb108,demob102,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130813,0,CHI09,NYL,l,championship,y
IN4191505090,CG1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,,value,28,27,0,0,0,0,0,0,0,,1,0,0,5,0,,,0,,24,,37,7,1,0,1,5,,5,,5,0,2,0,0,,5,,2,24,13,3,0,0,2,2,5,,jennt101,greew101,winsb101,patea101,greej106,stros103,fordb101,brazc101,dixos102,dixos102,brazc101,stros103,jennt101,greew101,fordb101,winsb101,greej106,patea101,,19150509,0,IND09,IN4,l,exhibition,y
IN4191505090,IN4,2,1,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,8,,value,37,32,5,7,1,0,1,,0,,0,5,,5,5,,,0,,27,,28,0,0,0,0,0,0,0,0,5,1,0,0,0,,0,,0,27,11,2,0,0,0,0,0,,shivg101,demob102,allet101,taylb108,clarm103,power102,charo101,jeffj102,dismd101,dismd101,power102,taylb108,demob102,allet101,clarm103,shivg101,charo101,jeffj102,,19150509,0,IND09,CG1,w,exhibition,y
CAG191608270,IN4,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,4,,value,32,28,1,3,0,0,0,1,1,0,1,2,0,6,0,0,0,0,2,24,0,32,4,1,0,0,3,0,4,0,2,0,0,0,1,0,0,0,0,24,18,1,0,0,0,0,0,0,shivg101,demob102,taylj105,taylb108,clarm103,power102,charo101,browg103,dismd101,dismd101,power102,taylb108,demob102,taylj105,clarm103,shivg101,charo101,browg103,,19160827,0,CHI09,CAG,l,exhibition,y
CAG191608270,CAG,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,5,,value,32,27,3,4,1,0,0,2,1,0,0,4,0,2,0,0,0,0,1,27,0,32,3,0,0,0,1,1,2,0,6,1,0,0,1,0,0,0,0,27,9,2,2,0,0,0,0,0,barbj103,hillp102,duncf101,lloyj101,franb101,granl101,petwb101,bauch101,wickf102,wickf102,petwb101,granl101,bauch101,franb101,lloyj101,hillp102,barbj103,duncf101,,19160827,0,CHI09,IN4,w,exhibition,y
CAG191608280,IN4,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,9,,value,38,33,2,8,1,0,0,2,1,0,0,4,0,6,1,2,0,0,2,24,0,35,5,0,1,0,4,4,3,0,7,3,0,0,0,1,3,0,0,24,6,0,0,0,0,0,3,0,shivg101,demob102,taylj105,taylb108,clarm103,power102,charo101,browg103,johnd108,johnd108,power102,taylb108,demob102,taylj105,clarm103,shivg101,charo101,browg103,,19160828,0,CHI09,CAG,l,exhibition,y
CAG191608280,CAG,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,7,,value,35,28,4,5,0,1,0,4,0,1,3,3,0,7,3,0,0,0,0,27,0,38,8,1,0,0,2,0,4,0,6,0,0,0,1,0,1,2,0,27,13,2,1,0,0,0,1,2,barbj103,hillp102,duncf101,lloyj101,franb101,granl101,petwb101,bauch101,whitd107,whitd107,petwb101,granl101,bauch101,franb101,lloyj101,hillp102,barbj103,duncf101,,19160828,0,CHI09,IN4,w,exhibition,y
ACY192007112,NYL,2,1,2,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,value,,,7,10,1,4,,5,,,,,,,,,,,,27,,,10,1,,,5,,,,,,,,,,,,,27,,1,,0,,,,,,,,,,,,,,reava101,wiled101,,,,,,,,,19200711,2,NYC15,ACY,w,exhibition,
ACY192007112,ACY,1,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,value,,,5,10,1,,,,,,,,,,,,,,,27,,,10,1,4,,7,,,,,,,,,,,,,27,,2,,0,,,,,,,,,,,,,,treah101,rojoj101,,,,,,,,,19200711,2,NYC15,NYL,l,exhibition,
NYL192007111,ACY,0,0,1,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,value,,,5,11,1,2,,,,,1,,,,,,,,,27,,,4,,1,,0,0,,,1,,,,,,,,,27,,0,,0,,,,,,,,,,,,,,reddd101,rojoj101,,,,,,,,,19200711,1,NYC15,NYL,w,exhibition,
NYL192007111,NYL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,value,,,0,4,,1,,0,,,,,,1,,,,,,27,,,11,1,2,,5,5,,,,1,,,,,,,,27,,1,,0,,,,,,,,,,,,,,willj109,wiled101,,,,,,,,,19200711,1,NYC15,ACY,l,exhibition,
KCM192008010,CAG,0,0,0,1,1,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,7,,value,47,43,4,12,0,0,0,,1,,0,3,,13,5,,,0,,34,,47,11,0,0,0,5,,4,0,8,2,0,0,4,0,0,,0,34,19,3,0,0,0,0,0,,gardj102,demob102,malad101,torrc101,browj111,gansj101,dixog101,willb107,willt104,willt104,dixog101,browj111,demob102,malad101,willb107,gansj101,torrc101,gardj102,,19200801,0,KAN02,KCM,l,regular,y
KCM192008010,KCM,0,1,0,0,2,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,8,,value,47,37,5,11,2,1,0,,4,0,2,4,0,8,0,,,0,,36,,47,12,0,0,0,4,,3,,13,0,1,0,1,,5,,2,36,,3,0,0,2,1,5,,portb103,mendj101,mcnah101,moord102,donaj105,rogab101,carrg101,arumj101,ray-o101,rogab101,ray-o101,carrg101,mendj101,portb103,moord102,mcnah101,donaj105,arumj101,,19200801,0,KAN02,CAG,w,regular,y
ACY192008291,NYL,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,,value,34,32,0,3,0,1,0,0,0,,1,1,,6,1,,,0,,24,,36,9,2,1,0,6,,1,,3,0,0,0,0,,1,,0,24,8,6,0,0,0,0,1,,poles101,jenkf102,wiled101,thomj103,willj109,whitb110,mongs101,perrc102,norme101,willj109,whitb110,wiled101,perrc102,mongs101,norme101,poles101,thomj103,jenkf102,,19200829,1,NYC15,ACY,l,exhibition,y
ACY192008291,ACY,2,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,6,,value,36,35,6,9,2,1,0,,0,,0,1,,3,1,,,0,,27,,34,3,0,1,0,0,0,1,,6,1,0,0,0,,1,,1,27,7,3,1,0,1,0,1,,barbj103,marco101,browc106,lundd103,handb102,pierb104,medel101,rojoj101,reddd101,reddd101,rojoj101,pierb104,handb102,marco101,lundd103,browc106,medel101,barbj103,,19200829,1,NYC15,NYL,w,exhibition,y
ACY192008292,NYL,2,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,4,,value,34,32,3,11,1,1,0,,2,,0,0,0,4,0,,,0,,24,,34,8,0,0,1,7,,2,0,3,0,0,0,2,0,4,,0,24,14,2,1,0,0,0,4,,poles101,jenkf102,wiled101,thomj103,willj109,mongs101,kindb101,lindc105,croww102,croww102,wiled101,willj109,kindb101,mongs101,lindc105,poles101,thomj103,jenkf102,,19200829,2,NYC15,ACY,l,exhibition,y
