gid,team,inn1,inn2,inn3,inn4,inn5,inn6,inn7,inn8,inn9,inn10,inn11,inn12,inn13,inn14,inn15,inn16,inn17,inn18,inn19,inn20,inn21,inn22,inn23,inn24,inn25,inn26,inn27,inn28,lob,mgr,stattype,b_pa,b_ab,b_r,b_h,b_d,b_t,b_hr,b_rbi,b_sh,b_sf,b_hbp,b_w,b_iw,b_k,b_sb,b_cs,b_gdp,b_xi,b_roe,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,start_l1,start_l2,start_l3,start_l4,start_l5,start_l6,start_l7,start_l8,start_l9,start_f1,start_f2,start_f3,start_f4,start_f5,start_f6,start_f7,start_f8,start_f9,start_f10,date,number,site,opp,wl,gametype,box
CAG191307270,CAG,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,,value,30,28,0,6,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,27,0,43,10,1,0,1,8,5,1,0,7,0,0,0,0,0,1,0,0,27,14,5,0,0,0,0,1,0,petwb101,hillp102,barbj103,pierb104,taylj105,monrb102,duncf101,lindb103,hutcf102,lindb103,petwb101,pierb104,monrb102,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130727,0,CHI09,NYL,l,championship,y
CAG191307280,NYL,1,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,7,,value,37,36,3,8,2,0,0,2,0,0,0,1,0,5,0,0,1,0,3,27,0,34,7,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,27,14,1,0,0,0,0,2,0,poles101,gansj101,lloyj101,johng103,santl101,wiled101,granl101,franb101,wadel101,wadel101,santl101,granl101,johng103,franb101,lloyj101,gansj101,poles101,wiled101,,19130728,0,CHI09,CAG,w,championship,y
CAG191307280,CAG,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,6,,value,34,32,1,7,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,27,0,37,8,2,0,0,3,2,1,0,5,0,0,0,0,0,0,0,0,27,16,4,1,0,0,0,0,0,petwb101,hillp102,taylb108,barbj103,taylj105,duncf101,gateb101,monrb102,hutcf102,gateb101,petwb101,taylb108,monrb102,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130728,0,CHI09,NYL,l,championship,y
CAG191307290,NYL,1,0,0,0,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,10,,value,43,36,6,12,3,0,0,6,1,0,1,5,0,3,1,1,0,0,2,25,0,42,11,1,2,0,7,3,4,0,1,2,1,0,1,0,6,2,0,25,16,4,0,0,0,1,6,2,poles101,gansj101,lloyj101,johng103,santl101,wiled101,granl101,franb101,barts101,barts101,wiled101,granl101,johng103,franb101,lloyj101,gansj101,poles101,santl101,,19130729,0,CHI09,CAG,l,championship,y
CAG191307290,CAG,2,2,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,10,,value,42,35,7,11,1,2,0,4,1,0,2,4,0,1,6,2,0,0,3,27,0,43,12,3,0,0,6,5,5,0,3,1,0,0,1,0,1,1,0,27,17,3,0,0,0,0,1,1,petwb101,hillp102,taylb108,kindb101,taylj105,duncf101,barbj103,hutcf102,craws102,craws102,petwb101,taylb108,kindb101,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130729,0,CHI09,NYL,w,championship,y
CAG191307300,NYL,4,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,7,,value,39,36,5,9,1,1,0,4,0,0,1,2,0,4,0,1,0,0,1,24,0,41,15,3,2,0,9,9,3,0,1,0,0,0,0,0,2,1,0,24,8,3,0,0,0,0,2,1,poles101,gansj101,lloyj101,johng103,santl101,wiled101,willj109,granl101,franb101,willj109,wiled101,granl101,johng103,franb101,lloyj101,gansj101,poles101,santl101,,19130730,0,CHI09,CAG,l,championship,y
CAG191307300,CAG,3,1,0,1,2,1,0,1,,,,,,,,,,,,,,,,,,,,,8,,value,41,38,9,15,3,2,0,8,0,0,0,3,0,1,2,1,0,0,0,27,0,39,9,1,1,0,5,5,2,0,4,1,0,0,0,0,0,1,0,27,12,3,0,0,0,0,0,1,petwb101,hillp102,taylb108,kindb101,taylj105,duncf101,barbj103,hutcf102,johnd108,johnd108,petwb101,taylb108,kindb101,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130730,0,CHI09,NYL,w,championship,y
CAG191307310,NYL,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,6,,value,34,30,1,5,0,0,0,1,2,0,0,2,1,7,1,0,1,0,1,24,0,30,5,0,0,0,2,0,2,0,4,0,0,0,1,0,0,1,0,24,16,1,0,0,0,0,0,1,poles101,payna101,lloyj101,johng103,santl101,wiled101,granl101,franb101,wadel101,wadel101,santl101,granl101,johng103,franb101,lloyj101,payna101,poles101,wiled101,,19130731,0,CHI09,CAG,l,championship,y
CAG191307310,CAG,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,4,,value,30,27,2,5,0,0,0,1,1,0,0,2,0,4,0,1,0,0,1,27,0,34,5,0,0,0,1,0,2,1,7,0,0,0,2,0,1,0,0,27,7,2,1,0,0,0,1,0,petwb101,hillp102,taylb108,kindb101,duncf101,barbj103,taylj105,lindb103,hutcf102,lindb103,petwb101,taylb108,kindb101,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130731,0,CHI09,NYL,w,championship,y
CAG191308022,NYL,1,0,4,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,13,,value,49,41,9,14,1,1,0,0,0,,0,8,,2,0,,,,,27,,38,8,0,1,0,3,,3,,3,0,0,0,0,,0,,0,27,13,5,0,0,0,0,0,,poles101,payna101,lloyj101,johng103,santl101,willj109,granl101,wiled101,franb101,willj109,santl101,granl101,johng103,franb101,lloyj101,payna101,poles101,wiled101,,19130802,2,CHI09,CAG,w,championship,y
CAG191308022,CAG,0,0,0,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,,8,,value,38,35,3,8,0,1,0,0,0,,0,3,,3,0,,,,,27,,49,14,1,1,0,9,,8,,2,0,0,0,0,,0,,0,27,17,4,1,0,0,0,0,,petwb101,hillp102,taylb108,kindb101,duncf101,barbj103,taylj105,gateb101,hutcf102,gateb101,petwb101,taylb108,kindb101,taylj105,hutcf102,duncf101,hillp102,barbj103,,19130802,2,CHI09,NYL,l,championship,y
CUW191308021,NYL,0,0,1,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,12,,value,48,41,6,14,2,1,0,6,1,0,0,6,1,4,2,0,0,0,1,30,0,42,8,1,0,1,5,4,4,0,3,0,1,0,1,0,1,0,0,30,13,2,2,0,0,1,1,0,poles101,payna101,lloyj101,johng103,santl101,granl101,wiled101,franb101,reddd101,reddd101,santl101,granl101,johng103,franb101,lloyj101,payna101,poles101,wiled101,,19130802,1,CHI09,CUW,w,exhibition,y
