Date,Num,Day,Visitor,League,Game,Home,League,Game,Day/Night,Postponed,Makeup
"19670410","0","Mon","LAN","NL",1,"CIN","NL",1,"D","",""
"19670410","0","Mon","NYA","AL",1,"WS2","AL",1,"D","",""
"19670411","0","Tue","MIN","AL",1,"BAL","AL",1,"D","",""
"19670411","0","Tue","CHA","AL",1,"BOS","AL",1,"D","Cold","19670413"
"19670411","0","Tue","DET","AL",1,"CAL","AL",1,"N","",""
"19670411","0","Tue","PHI","NL",1,"CHN","NL",1,"D","",""
"19670411","0","Tue","ATL","NL",1,"HOU","NL",1,"N","",""
"19670411","0","Tue","CLE","AL",1,"KC1","AL",1,"N","",""
"19670411","0","Tue","PIT","NL",1,"NYN","NL",1,"D","",""
"19670411","0","Tue","SFN","NL",1,"SLN","NL",1,"N","",""
"19670412","0","Wed","CHA","AL",2,"BOS","AL",2,"D","",""
"19670412","0","Wed","DET","AL",2,"CAL","AL",2,"N","",""
"19670412","0","Wed","PHI","NL",2,"CHN","NL",2,"D","",""
"19670412","0","Wed","ATL","NL",2,"HOU","NL",2,"N","",""
"19670412","0","Wed","CLE","AL",2,"KC1","AL",2,"E","Wet grounds","19670609"
"19670412","0","Wed","NYA","AL",2,"WS2","AL",2,"N","",""
"19670413","0","Thu","SFN","NL",2,"ATL","NL",3,"N","",""
"19670413","0","Thu","MIN","AL",2,"BAL","AL",2,"D","",""
"19670413","0","Thu","CLE","AL",3,"CAL","AL",3,"N","Power failure","19670613"
"19670413","0","Thu","PHI","NL",3,"CHN","NL",3,"D","Rain","19670810"
"19670413","0","Thu","HOU","NL",3,"CIN","NL",2,"N","",""
"19670413","0","Thu","PIT","NL",2,"NYN","NL",2,"D","",""
"19670413","0","Thu","LAN","NL",2,"SLN","NL",2,"N","Rain","19670611"
"19670414","0","Fri","SFN","NL",3,"ATL","NL",4,"N","",""
"19670414","0","Fri","CLE","AL",4,"CAL","AL",4,"N","",""
"19670414","0","Fri","HOU","NL",4,"CIN","NL",3,"N","",""
"19670414","0","Fri","BAL","AL",3,"KC1","AL",3,"N","",""
"19670414","0","Fri","DET","AL",3,"MIN","AL",3,"D","",""
"19670414","0","Fri","BOS","AL",3,"NYA","AL",3,"D","",""
"19670414","0","Fri","NYN","NL",3,"PHI","NL",4,"N","",""
"19670414","0","Fri","CHN","NL",4,"PIT","NL",3,"D","",""
"19670414","0","Fri","LAN","NL",3,"SLN","NL",3,"N","",""
"19670415","0","Sat","SFN","NL",4,"ATL","NL",5,"D","",""
