ID,last,first
balll901,Ballanfant,Lee
barla901,Barlick,Al
berrc103,Berry,Charlie
bluev901,Blueitt,Virgil
boggd901,Boggess,Dusty
boyej901,Boyer,Jim
conlj102,Conlan,Jocko
croou901,Crooks,
dascf901,Dascoli,Frank
donaa901,Donatelli,Augie
goetl901,Goetz,Larry
gorea901,Gore,Artie
greeu902,Green,
grieb901,Grieve,Bill
honoj901,Honochick,Jim
hubbc901,Hubbard,Cal
hurle901,Hurley,Eddie
jefft901,Jefferson,T.H.
jordl901,Jorda,Lou
lewis901,Lewis,Simon
liviu901,Livingston,
mcgob901,McGowan,Bill
mckib901,McKinley,Bill
papaj901,Paparella,Joe
passa901,Passarella,Art
pineb101,Pinelli,Babe
robbs901,Robb,Scotty
romme101,Rommel,Eddie
soarh901,Soar,Hank
stevj901,Stevens,Johnny
stewb901,Stewart,Bill
summb901,Summers,Bill
warnl101,Warneke,Lon
