"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"ASD194205240","travc101","ASD","1","5","value","27","0","3","0","0","0","0","19420524","0","CHI11","KCM","L","exhibition","y"
"ASD194205240","travc101","ASD","1","5","lower","27","0","3","0","0","0","0","19420524","0","CHI11","KCM","L","exhibition","y"
"ASD194205240","travc101","ASD","1","5","upper","27","0","3","0","0","0","0","19420524","0","CHI11","KCM","L","exhibition","y"
"HOM194205310","travc101","ASD","1","5","value","12","0","0","0","0","0","0","19420531","0","WAS09","HOM","L","exhibition","y"
"HOM194205310","travc101","ASD","1","5","lower","","0","0","0","0","0","0","19420531","0","WAS09","HOM","L","exhibition","y"
"HOM194205310","travc101","ASD","1","5","upper","","0","0","0","0","0","0","19420531","0","WAS09","HOM","L","exhibition","y"
