"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194405212","hendl102","MEM","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440521","2","KAN05","KCM","w","regular","y"
"CIA194405250","hendl102","MEM","9","3","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440525","0","DAV01","CIA","w","regular","y"
"CIA194405302","hendl102","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440530","2","IND10","CIA","w","regular",""
