"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"BLG194608230","watkg102","PH5","1","5","value","3","0","0","0","0","0","0","19460823","0","BAL14","BLG","L","regular","y"
"BLG194608230","watkg102","PH5","1","5","lower","3","0","0","0","0","0","0","19460823","0","BAL14","BLG","L","regular","y"
"BLG194608230","watkg102","PH5","1","5","upper","3","0","0","0","0","0","0","19460823","0","BAL14","BLG","L","regular","y"
"PH5194608240","watkg102","PH5","1","5","value","6","1","0","1","","0","0","19460824","0","PHI17","NY5","W","regular","y"
"PH5194608240","watkg102","PH5","1","5","lower","6","1","0","1","","0","0","19460824","0","PHI17","NY5","W","regular","y"
"PH5194608240","watkg102","PH5","1","5","upper","6","1","0","1","","0","0","19460824","0","PHI17","NY5","W","regular","y"
