"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CVB194404301","purch101","CVB","1","1","value","","","","0","","0","0","","","","","19440430","1","IND10","BLG","l","exhibition",""
"CIA194405100","purch101","CVB","1","1","value","","","","0","","0","0","","","","","19440510","0","IND10","CIA","l","regular",""
"KCM194704110","purch101","KCM","1","1","value","15","","","0","","0","0","","","","1","19470411","0","WAC01","BIR","l","exhibition",""
"MEM194705050","purch101","MEM","1","1","value","3","","","0","","0","0","","","","","19470505","0","LRK02","IN9","l","regular",""
"KCM194705252","purch101","MEM","1","1","value","3","0","0","0","0","0","","","","","","19470525","2","KAN05","KCM","l","regular","y"
"KCM194705270","purch101","MEM","1","1","value","14","0","","0","0","0","","","","","1","19470527","0","WIC01","KCM","l","regular","y"
