"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG194807120","robec103","KCM","1","4","value","24","0","0","0","0","0","0","","","","1","19480712","0","DCT02","CAG","l","regular","y"
"CAG194807160","robec103","KCM","1","4","value","27","1","0","0","0","0","","","","","1","19480716","0","CHI10","CAG","w","regular","y"
"KCM194807251","robec103","KCM","1","4","value","27","1","2","0","0","0","","","","","1","19480725","1","KAN05","IN9","w","regular","y"
"KCM194807252","robec103","KCM","1","4","value","21","1","0","0","0","0","","","","","1","19480725","2","KAN05","IN9","w","regular","y"
"KCM194807270","robec103","KCM","1","4","value","27","7","2","0","1","0","0","","","","1","19480727","0","KAN05","IN9","w","regular","y"
"KCM194807280","robec103","KCM","1","4","value","27","2","2","0","0","0","0","","","","1","19480728","0","STJ01","IN9","l","regular","y"
"KCM194808011","robec103","KCM","1","4","value","27","1","7","1","2","0","","","","","1","19480801","1","KAN05","BIR","w","regular","y"
"KCM194808012","robec103","KCM","1","4","value","21","2","7","0","1","0","","","","","1","19480801","2","KAN05","BIR","w","regular","y"
"KCM194808081","robec103","KCM","1","4","value","30","2","1","0","0","0","","","","","1","19480808","1","KAN05","MEM","l","regular","y"
"KCM194808082","robec103","KCM","1","4","value","21","2","0","2","0","0","","","","","1","19480808","2","KAN05","MEM","l","regular","y"
"KCM194808180","robec103","KCM","1","3","value","27","15","0","0","0","0","0","","","","1","19480818","0","DAV01","MEM","w","regular","y"
"KCM194808190","robec103","KCM","1","4","value","27","4","1","0","","0","0","","","","1","19480819","0","STJ01","MEM","l","regular","y"
"KCM194808220","robec103","KCM","1","4","value","27","5","2","1","2","0","","","","","1","19480822","0","DEN03","MEM","w","exhibition","y"
"KCM194808260","robec103","KCM","1","4","value","27","3","2","0","0","0","","","","","1","19480826","0","KAN05","MEM","w","regular","y"
"KCM194808270","robec103","KCM","1","4","value","27","0","3","0","0","0","","","","","1","19480827","0","KAN05","MEM","l","regular","y"
"KCM194808290","robec103","KCM","1","4","value","27","3","3","0","1","0","","","","","1","19480829","0","KAN05","CVB","l","regular","y"
"CVB194809010","robec103","KCM","1","4","value","27","5","5","0","1","0","0","","","","1","19480901","0","YOU01","CVB","w","regular","y"
"BLG194809030","robec103","KCM","1","4","value","27","1","5","0","1","0","0","","","","1","19480903","0","BAL14","BLG","w","exhibition","y"
"HOM194809052","robec103","KCM","1","4","value","18","3","3","0","3","0","","","","","1","19480905","2","WAS09","HOM","l","exhibition","y"
"NY6194809062","robec103","KCM","1","4","value","24","4","6","0","1","0","","","","","1","19480906","2","NYC14","NY6","l","exhibition","y"
"PH5194809081","robec103","KCM","1","4","value","27","0","3","0","0","0","","","","","1","19480908","1","PHI11","PH5","w","exhibition","y"
"BIR194809110","robec103","KCM","1","4","value","32","4","6","0","1","0","","","","","1","19480911","0","BIR01","BIR","l","lcs","y"
"BIR194809120","robec103","KCM","1","4","value","28","1","4","1","1","0","","","","","1","19480912","0","BIR01","BIR","l","lcs","y"
"BIR194809150","robec103","KCM","1","4","value","26","","","1","","0","0","","","","","19480915","0","MEM02","BIR","l","championship",""
