"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"BIR194304190","danig101","CI2","1","1","value","24","","","0","","0","0","","","","1","19430419","0","MTG01","BIR","w","exhibition",""
"CI2194305180","danig101","CI2","1","1","value","30","0","2","0","0","0","","","","","1","19430518","0","SPR04","BIR","w","regular","y"
"CI2194305232","danig101","CI2","1","1","value","14","0","","0","0","0","","","","","1","19430523","2","CIN07","CAG","w","regular","y"
"CI2194305260","danig101","CI2","1","1","value","10","","","0","0","0","","","","","1","19430526","0","SPR03","CAG","l","regular","y"
"CVB194305290","danig101","CI2","1","1","value","3","","","0","","0","0","","","","1","19430529","0","CAN03","CVB","l","regular",""
"CVB194306010","danig101","CI2","1","1","value","3","","","0","","0","0","","","","1","19430601","0","BUF06","CVB","l","regular",""
"CI2194306030","danig101","CI2","1","1","value","","","","0","","0","0","","","","1","19430603","0","COL05","KCM","l","regular",""
"KCM194308230","danig101","CI2","1","1","value","15","0","0","1","0","0","","","","","1","19430823","0","OKC02","KCM","l","regular","y"
"KCM194308240","danig101","CI2","1","1","value","7","0","1","0","0","0","","","","","1","19430824","0","MUS01","KCM","l","regular","y"
