"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194404170","bumpe101","KCM","4","1","value","4","3","0","0","0","0","0","0","0","","1","0","0","","0","","","0","","","","","19440417","0","HOU04","CIA","w","exhibition","y"
"CIA194404210","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440421","0","FTW01","CIA","w","exhibition",""
"KCM194404250","bumpe101","KCM","6","1","value","5","5","1","2","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440425","0","OKC02","CIA","w","exhibition","y"
"KCM194404260","bumpe101","KCM","6","1","value","4","4","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440426","0","OKC02","CIA","l","exhibition","y"
"KCM194405030","bumpe101","KCM","7","1","value","4","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19440503","0","OKC02","MEM","w","exhibition","y"
"MEM194405071","bumpe101","KCM","6","1","value","4","4","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19440507","1","MEM03","MEM","w","regular","y"
"MEM194405080","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440508","0","NOL01","MEM","l","regular",""
"MEM194405120","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440512","0","LRK02","MEM","l","regular",""
"BIR194405141","bumpe101","KCM","7","1","value","4","4","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440514","1","BIR01","BIR","l","regular","y"
"KCM194405220","bumpe101","KCM","7","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440522","0","KAN05","MEM","w","regular","y"
"KCM194405230","bumpe101","KCM","9","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440523","0","MUS01","CAG","l","regular","y"
"KCM194405290","bumpe101","KCM","","","value","","","1","","","","","","","","","1","","","","","","","","","","","19440529","0","STJ01","CAG","w","regular",""
"KCM194405300","bumpe101","KCM","6","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440530","0","KAN05","CAG","l","regular","y"
"CVB194406112","bumpe101","KCM","9","1","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440611","2","CLE06","CVB","l","regular","y"
"KCM194406190","bumpe101","KCM","8","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440619","0","KAN05","CIA","l","regular","y"
"HOM194406251","bumpe101","KCM","9","3","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440625","1","WAS09","HOM","l","exhibition","y"
"HOM194406252","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440625","2","WAS09","HOM","w","exhibition",""
"HOM194406260","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440626","0","WAS09","HOM","l","exhibition",""
"HOM194406290","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440629","0","NOR02","HOM","l","exhibition",""
"NY6194407022","bumpe101","KCM","8","3","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440702","2","NYC15","NY6","l","exhibition","y"
"CAG194407091","bumpe101","KCM","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440709","1","CHI10","CAG","w","regular","y"
"BIR194407130","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440713","0","MTG01","BIR","l","regular",""
"BIR194407162","bumpe101","KCM","","","value","","","","","","","","","","","","","","","","","","","","","","","19440716","2","BIR01","BIR","l","regular",""
