"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NYL192909011","lacko101","HIL","1","6","value","24","1","2","0","0","0","","","","","","19290901","1","NYC24","NYL","l","regular","y"
"NYL192909012","lacko101","HIL","1","6","value","18","2","1","0","0","0","","","","","","19290901","2","NYC24","NYL","l","regular","y"
"BLS193309171","lacko101","BLS","1","5","value","27","0","2","0","0","0","","","","","1","19330917","1","BAL14","ASB","l","exhibition","y"
"BLS193309172","lacko101","BLS","1","7","value","21","1","0","0","0","0","","","","","1","19330917","2","BAL14","ASB","l","exhibition","y"
"PH5193509222","lacko101","PH5","1","4","value","27","3","2","0","0","0","","","","","1","19350922","2","NYC16","PTC","l","exhibition","y"
"PH5193609201","lacko101","PH5","1","4","value","27","2","6","1","0","0","0","","","","1","19360920","1","NYC14","WEG","l","exhibition","y"
"NW2194306061","lacko101","NY5","1","9","value","24","1","0","0","0","0","","","","","1","19430606","1","NWK04","NW2","l","regular","y"
"PH5194306120","lacko101","NY5","1","7","value","27","0","0","0","0","0","","","","","1","19430612","0","PHI17","PH5","w","regular","y"
