"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BIR194009221","cowaj101","BIR","7","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400922","1","BIR01","BLG","l","exhibition","y"
"BIR194009222","cowaj101","BIR","7","1","value","3","3","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19400922","2","BIR01","BLG","w","exhibition","y"
"BIR194208161","cowaj101","CCB","6","2","value","2","2","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19420816","1","BIR01","BIR","l","exhibition","y"
"BIR194208162","cowaj101","CCB","6","1","value","2","2","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420816","2","BIR01","BIR","l","exhibition","y"
"CVB194405141","cowaj101","CVB","2","1","value","4","2","0","0","0","0","0","0","1","","0","1","","","1","","","0","","","","","19440514","1","CLE06","CIA","w","regular","y"
"CVB194405142","cowaj101","CVB","2","1","value","3","3","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440514","2","CLE06","CIA","l","regular","y"
"CVB194405211","cowaj101","CVB","2","1","value","4","2","0","0","0","0","0","0","1","","0","1","","","0","","","0","","","","","19440521","1","CLE06","BIR","w","regular","y"
"CVB194405212","cowaj101","CVB","2","1","value","3","2","0","1","0","0","0","0","1","","0","0","0","","0","","","0","","","","","19440521","2","CLE06","BIR","w","regular","y"
"CVB194405230","cowaj101","CVB","2","1","value","","","","","","","","","","","","","","","","","","","","","","","19440523","0","BUF06","BIR","l","regular",""
"BIR194405281","cowaj101","CVB","7","1","value","3","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440528","1","BIR01","BIR","l","regular","y"
"BIR194405282","cowaj101","CVB","","","value","","","","","","","","","","","","","","","","","","","","","","","19440528","2","BIR01","BIR","w","regular",""
"MEM194406041","cowaj101","CVB","7","1","value","5","5","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440604","1","MEM03","MEM","w","regular","y"
"CVB194406111","cowaj101","CVB","7","1","value","5","5","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440611","1","CLE06","KCM","l","regular","y"
"CVB194406112","cowaj101","CVB","7","1","value","4","4","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440611","2","CLE06","KCM","w","regular","y"
"CAG194406181","cowaj101","CVB","7","1","value","5","5","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440618","1","CHI10","CAG","l","regular","y"
"CAG194406182","cowaj101","CVB","","","value","","","","","","","","","","","","","","","","","","","","","","","19440618","2","CHI10","CAG","w","regular",""
"CAG194406182","cowaj101","CVB","","","lower","","1","","","","","","","","","","","","","","","","","","","","","19440618","2","CHI10","CAG","w","regular",""
"CVB194406251","cowaj101","CVB","7","1","value","3","3","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440625","1","CLE06","CAG","w","regular","y"
"CVB194406252","cowaj101","CVB","7","1","value","3","3","0","2","0","0","0","","0","","0","0","0","0","0","","","0","","","","","19440625","2","CLE06","CAG","w","regular","y"
"CVB194407070","cowaj101","CVB","","","value","","","1","1","","","1","3","","","","","","","","","","","","","","","19440707","0","DAY03","MEM","w","regular",""
"CVB194407070","cowaj101","CVB","","","lower","","1","1","1","","","1","3","","","","","","","","","","","","","","","19440707","0","DAY03","MEM","w","regular",""
"CVB194407091","cowaj101","CVB","","","value","","","1","2","1","","","1","","","","","","","","","","","","","","","19440709","1","CLE06","MEM","l","regular",""
"CVB194407091","cowaj101","CVB","","","lower","","2","1","2","1","","","1","","","","","","","","","","","","","","","19440709","1","CLE06","MEM","l","regular",""
"CIA194408062","cowaj101","CVB","","","value","","","0","","","","","0","","","","","","","","","","","","","","","19440806","2","IND10","CIA","l","regular",""
"CIA194408070","cowaj101","CVB","","","value","","","","1","","","","2","","","","","","","","","","","","","","","19440807","0","DAY03","CIA","w","regular",""
"CIA194408070","cowaj101","CVB","","","lower","","1","","1","","","","2","","","","","","","","","","","","","","","19440807","0","DAY03","CIA","w","regular",""
"CVB194408080","cowaj101","CVB","7","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440808","0","CLE06","KCM","l","regular","y"
"CVB194408201","cowaj101","CVB","7","1","value","4","4","1","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440820","1","CLE06","CIA","w","regular","y"
"CVB194408202","cowaj101","CVB","7","1","value","3","3","1","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440820","2","CLE06","CIA","w","regular","y"
"CIA194408220","cowaj101","CVB","6","1","value","4","4","2","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440822","0","NOR03","CIA","w","regular","y"
"CAG194408250","cowaj101","CVB","","","value","5","4","","4","","2","","","","","","1","","","","","","","","","","","19440825","0","SBD01","CAG","w","regular",""
"CAG194408310","cowaj101","CVB","8","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440831","0","RAC01","CAG","l","regular","y"
"HOM194409130","cowaj101","CVB","7","1","value","4","3","0","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19440913","0","WAP01","HOM","t","exhibition","y"
"NY6194504081","cowaj101","CVB","7","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450408","1","NOL01","NY6","l","exhibition","y"
"BIR194505061","cowaj101","CVB","8","1","value","4","3","0","1","0","0","0","0","1","","0","0","0","","0","","","0","","","","","19450506","1","BIR01","BIR","w","regular","y"
"CVB194505271","cowaj101","CVB","8","1","value","4","4","1","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450527","1","CLE06","MEM","w","regular","y"
