"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"MEM194603310","calhf101","CVB","1","value","","","","","","","","","","","","","","","","","","","","","1","","","19460331","0","MEM03","MEM","L","exhibition",""
"MEM194603310","calhf101","CVB","1","lower","","","","","","","","","","","","","","","","","","","","","","","","19460331","0","MEM03","MEM","L","exhibition",""
"MEM194603310","calhf101","CVB","1","upper","","","","","","","","","","","","","","","","","","","","","","","","19460331","0","MEM03","MEM","L","exhibition",""
"CVB194604140","calhf101","CVB","2","value","15","","","","","","","1","","","","","","","","","","1","","","","1","","19460414","0","ATL05","NY5","W","exhibition",""
"CVB194604140","calhf101","CVB","2","lower","15","","","","","","","1","","","","","","","","","","","","","","","","19460414","0","ATL05","NY5","W","exhibition",""
"CVB194604140","calhf101","CVB","2","upper","15","","","","","","","1","","","","","","","","","","","","","","","","19460414","0","ATL05","NY5","W","exhibition",""
"BIR194604210","calhf101","CVB","3","value","","","","","","","","","","","","","","","","","","","","","","","","19460421","0","ATL05","BIR","W","exhibition",""
"BIR194604210","calhf101","CVB","3","lower","","","","","","","","","","","","","","","","","","","","","","","","19460421","0","ATL05","BIR","W","exhibition",""
"BIR194604210","calhf101","CVB","3","upper","","","","","","","","","","","","","","","","","","","","","","","","19460421","0","ATL05","BIR","W","exhibition",""
"CVB194605051","calhf101","CVB","1","value","27","","","4","","","","1","","","","","","","","","1","1","","","1","","1","19460505","1","CLE06","BIR","W","regular",""
"CVB194605051","calhf101","CVB","1","lower","27","","","4","","","","1","","","","","","","","","1","","","","","","","19460505","1","CLE06","BIR","W","regular",""
"CVB194605051","calhf101","CVB","1","upper","27","","","4","","","","1","","","","","","","","","1","","","","","","","19460505","1","CLE06","BIR","W","regular",""
"BIR194605121","calhf101","CVB","1","value","","","","","","","","5","","","","","","","","","","","1","","1","","","19460512","1","BIR01","BIR","L","regular",""
"BIR194605121","calhf101","CVB","1","lower","","","","","","","","5","","","","","","","","","","","","","","","","19460512","1","BIR01","BIR","L","regular",""
"BIR194605121","calhf101","CVB","1","upper","","","","","","","","5","","","","","","","","","","","","","","","","19460512","1","BIR01","BIR","L","regular",""
"CVB194605280","calhf101","CVB","1","value","18","3","","","","","","7","","","","","","","","","","","1","","1","","","19460528","0","DAY03","CAG","L","regular",""
"CVB194605280","calhf101","CVB","1","lower","18","3","","","","","","7","","","","","","","","","","","","","","","","19460528","0","DAY03","CAG","L","regular",""
"CVB194605280","calhf101","CVB","1","upper","18","3","","","","","","7","","","","","","","","","","","","","","","","19460528","0","DAY03","CAG","L","regular",""
"CVB194606021","calhf101","CVB","1","value","21","","31","6","0","0","0","6","","2","","1","0","0","0","2","","","","","1","","","19460602","1","CLE06","IN9","L","regular","y"
"CVB194606021","calhf101","CVB","1","lower","21","","","","0","0","0","6","","","","1","0","0","0","","","","","","","","","19460602","1","CLE06","IN9","L","regular","y"
"CVB194606021","calhf101","CVB","1","upper","21","","","","0","0","0","6","","","","1","0","0","0","","","","","","","","","19460602","1","CLE06","IN9","L","regular","y"
"CVB194606100","calhf101","CVB","3","value","12","","","","","","","2","","","","","","","","","","","","","","","","19460610","0","COL05","KCM","L","regular",""
"CVB194606100","calhf101","CVB","3","lower","12","","","","","","","2","","","","","","","","","","","","","","","","19460610","0","COL05","KCM","L","regular",""
"CVB194606100","calhf101","CVB","3","upper","12","","","","","","","2","","","","","","","","","","","","","","","","19460610","0","COL05","KCM","L","regular",""
"KCM194606162","calhf101","CVB","2","value","6","","9","2","0","0","0","1","","1","","3","0","0","0","","","","","","","1","","19460616","2","KAN05","KCM","L","regular","y"
"KCM194606162","calhf101","CVB","2","lower","6","","","2","0","0","0","1","","1","","3","0","0","0","","","","","","","","","19460616","2","KAN05","KCM","L","regular","y"
"KCM194606162","calhf101","CVB","2","upper","6","","","2","0","0","0","1","","1","","3","0","0","0","","","","","","","","","19460616","2","KAN05","KCM","L","regular","y"
"KCM194606180","calhf101","CVB","1","value","27","","","","","","","14","","","","","","","","","","","1","","1","","1","19460618","0","PTX01","KCM","L","regular",""
"KCM194606180","calhf101","CVB","1","lower","27","","","","","","","14","","","","","","","","","","","","","","","","19460618","0","PTX01","KCM","L","regular",""
"KCM194606180","calhf101","CVB","1","upper","27","","","","","","","14","","","","","","","","","","","","","","","","19460618","0","PTX01","KCM","L","regular",""
"MEM194607071","calhf101","CVB","2","value","","","","","","","","","","","","","","","","","","","","","","","","19460707","1","MEM03","MEM","L","regular",""
"MEM194607071","calhf101","CVB","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19460707","1","MEM03","MEM","L","regular",""
"MEM194607071","calhf101","CVB","2","upper","","","","","","","","","","","","","","","","","","","1","","","","","19460707","1","MEM03","MEM","L","regular",""
