"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"ASW195707280","wille107","ASW","3","value","9","","14","3","0","0","0","3","","2","","2","0","0","0","0","","1","","","","1","","19570728","0","CHI10","ASE","W","allstar","y"
"ASW195707280","wille107","ASW","3","lower","9","","","3","0","0","0","3","","2","","2","0","0","0","0","","","","","","","","19570728","0","CHI10","ASE","W","allstar","y"
"ASW195707280","wille107","ASW","3","upper","9","","","3","0","0","0","3","","2","","2","0","0","0","0","","","","","","","","19570728","0","CHI10","ASE","W","allstar","y"
"ASE196108200","wille107","ASE","2","value","6","","","","","","","","","","","","","","","","","","","","","","","19610820","0","NYC16","ASW","L","allstar",""
"ASE196108200","wille107","ASE","2","lower","6","","","","","","","","","","","","","","","","","","","","","","","19610820","0","NYC16","ASW","L","allstar",""
"ASE196108200","wille107","ASE","2","upper","7","","","","","","","","","","","","","","","","","","","","","","","19610820","0","NYC16","ASW","L","allstar",""
"ASW196208260","wille107","ASE","3","value","","","","","","","","","","","","","","","","","","","","","","","","19620826","0","KAN05","ASW","L","allstar",""
"ASW196208260","wille107","ASE","3","lower","","","","","","","","","","","","","","","","","","","","","","","","19620826","0","KAN05","ASW","L","allstar",""
"ASW196208260","wille107","ASE","3","upper","","","","","","","","","","","","","","","","","","","","","","","","19620826","0","KAN05","ASW","L","allstar",""
