"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"BLG194805060","blacj103","BLG","2","value","24","0","31","7","2","1","0","3","3","2","0","9","0","0","0","0","0","","","","","1","","19480506","0","HRB01","NY6","T","regular","y"
"BLG194805060","blacj103","BLG","2","lower","24","","","","","","0","3","","2","0","9","0","0","0","","0","","","","","","","19480506","0","HRB01","NY6","T","regular","y"
"BLG194805060","blacj103","BLG","2","upper","24","","","","","","0","3","","2","0","10","0","0","0","","0","","","","","","","19480506","0","HRB01","NY6","T","regular","y"
"BLG194805110","blacj103","BLG","1","value","26","","39","10","","","0","3","","4","","5","0","0","0","0","","","1","","1","","","19480511","0","BAL14","HOM","L","regular","y"
"BLG194805110","blacj103","BLG","1","lower","26","","","10","","","0","3","","4","","5","0","0","0","","","","","","","","","19480511","0","BAL14","HOM","L","regular","y"
"BLG194805110","blacj103","BLG","1","upper","26","","","10","","","0","3","","4","","5","0","0","0","","","","","","","","","19480511","0","BAL14","HOM","L","regular","y"
"BLG194805180","blacj103","BLG","1","value","26","","36","9","","","0","4","","3","","9","0","0","0","0","","1","","","1","","","19480518","0","BAL14","HOM","W","regular","y"
"BLG194805180","blacj103","BLG","1","lower","26","","","9","","","0","4","","3","","9","0","0","0","","","","","","","","","19480518","0","BAL14","HOM","W","regular","y"
"BLG194805180","blacj103","BLG","1","upper","26","","","9","","","0","4","","3","","9","0","0","0","","","","","","","","","19480518","0","BAL14","HOM","W","regular","y"
"NY6194805231","blacj103","BLG","2","value","9","","9","1","","","0","0","","0","","","0","0","0","0","","1","","","","1","","19480523","1","NYC16","NY6","W","regular","y"
"NY6194805231","blacj103","BLG","2","lower","9","","","1","","","0","0","","0","","","0","0","0","","","","","","","","","19480523","1","NYC16","NY6","W","regular","y"
"NY6194805231","blacj103","BLG","2","upper","9","","","1","","","0","0","","0","","","0","0","0","","","","","","","","","19480523","1","NYC16","NY6","W","regular","y"
"NY6194805232","blacj103","BLG","1","value","21","","","","","","","5","","","","","","","","","","1","","","1","","","19480523","2","NYC16","NY6","W","regular",""
"NY6194805232","blacj103","BLG","1","lower","21","","","","","","","5","","","","","","","","","","","","","","","","19480523","2","NYC16","NY6","W","regular",""
"NY6194805232","blacj103","BLG","1","upper","21","","","","","","","5","","","","","","","","","","","","","","","","19480523","2","NYC16","NY6","W","regular",""
"BLG194805300","blacj103","BLG","1","value","27","","42","7","","","0","3","","5","","4","0","0","0","3","","","1","","1","","1","19480530","0","BAL14","HOM","L","regular","y"
"BLG194805300","blacj103","BLG","1","lower","27","","34","7","","","0","3","","5","","4","0","0","0","3","","","","","","","","19480530","0","BAL14","HOM","L","regular","y"
"BLG194805300","blacj103","BLG","1","upper","27","","42","7","","","0","3","","5","","4","0","0","0","3","","","","","","","","19480530","0","BAL14","HOM","L","regular","y"
"BLG194806061","blacj103","BLG","2","value","9","","13","5","","","0","1","","0","","","0","0","0","0","","","","","","1","","19480606","1","BAL14","PH5","L","regular","y"
"BLG194806061","blacj103","BLG","2","lower","","","","","","","0","","","0","","","0","0","0","","","","","","","","","19480606","1","BAL14","PH5","L","regular","y"
"BLG194806061","blacj103","BLG","2","upper","","","","","","","0","","","0","","","0","0","0","","","","","","","","","19480606","1","BAL14","PH5","L","regular","y"
"BLG194806110","blacj103","BLG","1","value","27","","32","2","","","0","1","","3","","7","0","0","0","1","","1","","","1","","1","19480611","0","BAL14","PH5","W","regular","y"
"BLG194806110","blacj103","BLG","1","lower","27","","27","2","","","0","1","","3","","7","0","0","0","1","","","","","","","","19480611","0","BAL14","PH5","W","regular","y"
"BLG194806110","blacj103","BLG","1","upper","27","","32","2","","","0","1","","3","","7","0","0","0","1","","","","","","","","19480611","0","BAL14","PH5","W","regular","y"
"PH5194806142","blacj103","BLG","3","value","3","","3","0","","","0","0","","0","","0","0","0","0","0","","","","","","1","","19480614","2","PHI11","PH5","W","regular","y"
"PH5194806142","blacj103","BLG","3","lower","3","","","","","","0","0","","0","","0","","","","","","","","","","","","19480614","2","PHI11","PH5","W","regular","y"
"PH5194806142","blacj103","BLG","3","upper","3","","","","","","0","0","","0","","0","","","","","","","","","","","","19480614","2","PHI11","PH5","W","regular","y"
"NW2194806201","blacj103","BLG","1","value","6","","15","6","","","0","5","","3","","","0","0","0","0","","","1","","1","","","19480620","1","NWK04","NW2","L","regular","y"
"NW2194806201","blacj103","BLG","1","lower","","","","","","","0","","","","","","","","","","","","","","","","","19480620","1","NWK04","NW2","L","regular","y"
"NW2194806201","blacj103","BLG","1","upper","","","","","","","0","","","","","","","","","","","","","","","","","19480620","1","NWK04","NW2","L","regular","y"
"BLG194806250","blacj103","BLG","1","value","27","","33","5","","","0","0","0","3","","8","0","0","0","0","","1","","","1","","1","19480625","0","BAL14","NY5","W","regular","y"
"BLG194806250","blacj103","BLG","1","lower","27","","32","5","","","0","0","0","3","","8","0","0","0","0","","","","","","","","19480625","0","BAL14","NY5","W","regular","y"
"BLG194806250","blacj103","BLG","1","upper","27","","33","5","","","0","0","0","3","","8","0","0","0","0","","","","","","","","19480625","0","BAL14","NY5","W","regular","y"
"BLG194807020","blacj103","BLG","1","value","27","","32","4","","","0","1","","1","","9","1","0","0","1","","1","","","1","","1","19480702","0","BAL14","PH5","W","regular","y"
"BLG194807020","blacj103","BLG","1","lower","27","","29","4","","","0","1","","1","","9","1","0","0","1","","","","","","","","19480702","0","BAL14","PH5","W","regular","y"
"BLG194807020","blacj103","BLG","1","upper","27","","32","4","","","0","1","","1","","9","1","0","0","1","","","","","","","","19480702","0","BAL14","PH5","W","regular","y"
"BLG194807052","blacj103","BLG","1","value","21","","30","8","","","1","6","","2","","4","0","1","1","1","","1","","","1","","1","19480705","2","BAL14","HOM","W","regular","y"
"BLG194807052","blacj103","BLG","1","lower","18","","27","8","","","1","6","","2","","4","0","0","1","0","","","","","","","","19480705","2","BAL14","HOM","W","regular","y"
"BLG194807052","blacj103","BLG","1","upper","18","","30","8","","","1","6","","2","","4","0","1","1","1","","","","","","","","19480705","2","BAL14","HOM","W","regular","y"
"BLG194807090","blacj103","BLG","1","value","27","","31","2","","","0","0","0","4","","8","0","0","0","0","","1","","","1","","1","19480709","0","BAL14","NW2","W","regular","y"
"BLG194807090","blacj103","BLG","1","lower","27","","27","2","","","0","0","0","4","","8","0","0","0","0","","","","","","","","19480709","0","BAL14","NW2","W","regular","y"
"BLG194807090","blacj103","BLG","1","upper","27","","31","2","","","0","0","0","4","","8","0","0","0","0","","","","","","","","19480709","0","BAL14","NW2","W","regular","y"
"BLG194807160","blacj103","BLG","2","value","1","","5","0","","","0","1","","4","","1","0","0","0","0","","","","","","","","19480716","0","BAL14","NY6","W","regular","y"
"BLG194807160","blacj103","BLG","2","lower","1","","","0","","","0","0","","1","","1","0","0","0","","","","","","","","","19480716","0","BAL14","NY6","W","regular","y"
"BLG194807160","blacj103","BLG","2","upper","1","","","0","","","0","0","","4","","1","0","0","0","","","","","","","","","19480716","0","BAL14","NY6","W","regular","y"
"BLG194807251","blacj103","BLG","1","value","27","","38","10","","","0","3","","1","","7","0","0","0","1","","1","","","1","","1","19480725","1","BAL14","PH5","W","regular","y"
"BLG194807251","blacj103","BLG","1","lower","27","","36","9","","","0","3","","","","7","0","0","0","0","","","","","","","","19480725","1","BAL14","PH5","W","regular","y"
"BLG194807251","blacj103","BLG","1","upper","27","","38","9","","","0","3","","","","7","0","0","0","1","","","","","","","","19480725","1","BAL14","PH5","W","regular","y"
"BLG194808151","blacj103","BLG","1","value","27","","30","7","","","1","1","1","0","","5","0","0","0","0","","1","","","1","","1","19480815","1","BAL14","NW2","W","regular","y"
"BLG194808151","blacj103","BLG","1","lower","27","","30","7","","","1","1","1","0","","3","0","0","0","0","","","","","","","","19480815","1","BAL14","NW2","W","regular","y"
"BLG194808151","blacj103","BLG","1","upper","27","","30","7","","","1","1","1","0","","5","0","0","0","0","","","","","","","","19480815","1","BAL14","NW2","W","regular","y"
"ASE194808240","blacj103","ASE","3","value","9","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","1","","1","","19480824","0","NYC16","ASW","W","allstar","y"
"ASE194808240","blacj103","ASE","3","lower","9","","","2","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","19480824","0","NYC16","ASW","W","allstar","y"
"ASE194808240","blacj103","ASE","3","upper","9","","","2","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","19480824","0","NYC16","ASW","W","allstar","y"
