"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NY6194704270","cabrl102","NY6","3","1","value","5","5","1","1","0","0","1","3","0","","0","0","0","","0","","","0","","","","","19470427","0","NYC14","NW2","w","exhibition","y"
"HOM194705031","cabrl102","NY6","3","1","value","5","5","0","2","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19470503","1","PIT06","HOM","w","regular","y"
"HOM194705032","cabrl102","NY6","","","value","","","1","1","","","1","1","","","","","","","","","","","","","","","19470503","2","PIT06","HOM","l","regular",""
"HOM194705032","cabrl102","NY6","","","lower","1","1","1","1","","","1","1","","","","","","","","","","","","","","","19470503","2","PIT06","HOM","l","regular",""
"HOM194705041","cabrl102","NY6","3","1","value","5","5","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470504","1","WAS09","HOM","w","regular","y"
"HOM194705042","cabrl102","NY6","3","1","value","4","4","2","1","0","0","1","1","0","","0","0","0","","0","","","0","","","","","19470504","2","WAS09","HOM","w","regular","y"
"NY5194705111","cabrl102","NY6","3","1","value","6","5","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","","","","19470511","1","NYC16","NY5","l","regular","y"
"NW2194705200","cabrl102","NY6","3","1","value","5","5","0","2","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470520","0","NWK04","NW2","l","regular","y"
"NY6194705220","cabrl102","NY6","3","1","value","5","4","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19470522","0","HRB01","PH5","w","regular","y"
"BLG194705270","cabrl102","NY6","3","1","value","5","5","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470527","0","BAL14","BLG","l","regular","y"
"PH5194705301","cabrl102","NY6","3","1","value","4","4","1","2","0","0","0","","","","","","","","","","","","","","","","19470530","1","PHI17","PH5","l","regular","y"
"BLG194706011","cabrl102","NY6","3","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470601","1","BAL14","BLG","l","regular","y"
"BLG194706012","cabrl102","NY6","3","1","value","5","3","2","3","0","0","0","","1","","0","1","","","0","","","0","","","","","19470601","2","BAL14","BLG","w","regular","y"
"BLG194706030","cabrl102","NY6","3","1","value","4","4","1","1","1","0","0","2","0","","0","0","0","","0","","","0","","","","","19470603","0","BAL14","BLG","w","regular","y"
"NY6194706040","cabrl102","NY6","3","1","value","6","4","0","1","0","0","0","0","0","","0","2","","","1","","","0","","","","","19470604","0","SUN01","BLG","l","regular","y"
"NW2194706120","cabrl102","NY6","3","1","value","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19470612","0","NYC15","NW2","l","regular","y"
"NW2194706151","cabrl102","NY6","3","1","value","5","4","1","2","2","0","0","","0","","0","1","","","0","","","0","","","","","19470615","1","NYC15","NW2","w","regular","y"
"NW2194706152","cabrl102","NY6","3","1","value","2","2","0","1","0","0","0","","0","","0","0","0","","1","","","0","","","","","19470615","2","NYC15","NW2","w","regular","y"
"NY6194706161","cabrl102","NY6","3","1","value","4","3","0","0","0","0","0","0","0","","0","1","","","0","","","","","","","","19470616","1","PHI11","BLG","w","regular","y"
"PH5194706190","cabrl102","NY6","3","1","value","5","5","3","2","","","","","","","","","","","","","","","","","","","19470619","0","PHI17","PH5","w","regular","y"
"BLG194706200","cabrl102","NY6","3","1","value","6","5","1","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19470620","0","BAL14","BLG","w","regular","y"
"NY6194706231","cabrl102","NY6","3","1","value","5","5","1","3","","","0","","","","","0","0","","","","","","","","","","19470623","1","PHI11","NW2","l","regular","y"
"BLG194706291","cabrl102","NY6","3","1","value","5","5","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19470629","1","BAL14","BLG","w","regular","y"
