"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"CCR194605290","smitw106","CCR","2","value","","","","","","","","","","","","","","","","","","","","","1","","","","1","","19460529","0","IND10","KCM","w","exhibition",""
"CCR194607072","smitw106","CCR","1","value","21","","","6","","","","3","","","","","","","","","","","","","1","","","1","","1","19460707","2","CIN07","IN9","w","exhibition",""
"CCR194607110","smitw106","CCR","2","value","18","","28","8","0","0","1","8","","1","0","6","0","1","0","3","0","","","","","","","","1","","19460711","0","SPR03","MEM","l","exhibition","y"
"NY5194607290","smitw106","CCR","1","value","24","","35","6","0","0","1","4","","6","","6","0","0","0","1","","","","","","1","","1","","1","19460729","0","NYC23","NY5","l","exhibition","y"
"KCM194608140","smitw106","CCR","1","value","24","","33","11","1","0","0","7","","1","","4","0","0","0","0","","","","","","1","","1","","1","19460814","0","OXF01","KCM","l","exhibition","y"
"CCR194608182","smitw106","CCR","1","value","21","","","4","","","","0","0","","","","","","","","","","","","1","","","1","","1","19460818","2","CIN07","CAG","w","exhibition",""
"IN9194608200","smitw106","CCR","2","value","3","","3","0","0","0","0","0","","0","0","0","0","0","0","","0","","","","","","","","1","","19460820","0","ERI01","IN9","l","regular","y"
"BLG194804180","smitw106","HOM","1","value","24","0","36","9","3","0","1","3","3","5","0","0","0","0","0","0","0","0","0","0","1","","","1","","","19480418","0","BAL14","BLG","w","exhibition","y"
"HOM194804250","smitw106","HOM","3","value","3","0","6","1","0","0","0","1","1","2","0","0","0","0","0","0","0","1","0","0","","","","","1","","19480425","0","WAS09","BLG","l","exhibition","y"
"NW2194805090","smitw106","HOM","2","value","6","0","9","2","0","0","1","2","2","2","0","0","0","0","0","0","0","0","0","0","","","","","1","","19480509","0","NWK04","NW2","w","regular","y"
"BLG194805180","smitw106","HOM","1","value","18","","29","5","","","0","5","","4","","3","0","0","0","1","","","","","","1","","1","","","19480518","0","BAL14","BLG","l","regular","y"
"BLG194805280","smitw106","HOM","2","value","6","","7","1","","","0","0","","0","","3","0","0","0","1","","","","","","","","","1","","19480528","0","BAL14","BLG","l","regular","y"
"HOM194806140","smitw106","HOM","1","value","27","","","5","","","","2","","","","","","","","","","","","","1","","","1","","1","19480614","0","DAY03","NY5","w","regular",""
"HOM194806202","smitw106","HOM","2","value","7","","10","3","","","0","0","","0","","1","0","0","0","0","","","","","","","","","","","19480620","2","WAS09","PH5","l","regular","y"
"HOM194806271","smitw106","HOM","3","value","2","","4","2","","","0","0","","0","","0","0","0","0","0","","","","","","","","","","","19480627","1","WAS09","NY6","l","regular","y"
"HOM194807041","smitw106","HOM","3","value","8","0","10","2","0","0","0","2","0","1","0","0","0","0","0","0","0","0","2","0","","","","","1","","19480704","1","WAS09","NW2","l","regular","y"
"BLG194807052","smitw106","HOM","2","value","10","3","25","10","2","0","0","11","11","5","0","0","0","1","0","0","0","0","0","0","","","","","","","19480705","2","BAL14","BLG","l","regular","y"
