"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"BLG194305092","makew101","BLG","1","2","value","","","","0","0","0","0","","","","","19430509","2","BAL14","CI2","l","exhibition","y"
"BLG194309052","makew101","BLG","1","2","value","21","4","0","1","0","0","0","","","","1","19430905","2","BAL14","BIR","l","exhibition","y"
"MEM194406130","makew101","NW2","1","2","value","27","4","0","0","0","0","0","","","","1","19440613","0","DAV01","MEM","w","exhibition","y"
"HOM194406190","makew101","NW2","1","6","value","27","2","1","0","0","0","","","","","1","19440619","0","HRB01","HOM","w","regular","y"
"PH5194407080","makew101","NW2","1","2","value","","1","3","0","0","0","1","","","","","19440708","0","PHI17","PH5","l","regular","y"
"BLG194407110","makew101","NW2","1","7","value","12","","","0","0","0","","","","","1","19440711","0","BAL14","BLG","l","regular","y"
"HOM194408260","makew101","NW2","1","2","value","21","5","0","0","0","0","0","","","","1","19440826","0","ALT02","HOM","l","regular","y"
"HOM194408271","makew101","NW2","1","9","value","","0","","0","0","0","","","","","","19440827","1","PIT06","HOM","l","regular","y"
"BLG194908212","makew101","BLG","1","2","value","6","2","1","0","0","0","0","0","1","0","1","19490821","2","BAL14","MEM","w","regular","y"
"BLG194909052","makew101","BLG","1","2","value","15","","","","","","","","","","1","19490905","2","BAL14","PH5","l","regular",""
"BLG194909140","makew101","BLG","1","2","value","27","","","","","","","","","","1","19490914","0","NPN02","PH5","l","exhibition",""
