"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"ASD193310100","geerc101","ASD","7","1","value","5","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19331010","0","JOP01","KCM","W","exhibition","y"
"ASD193310100","geerc101","ASD","7","1","lower","5","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19331010","0","JOP01","KCM","W","exhibition","y"
"ASD193310100","geerc101","ASD","7","1","upper","5","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19331010","0","JOP01","KCM","W","exhibition","y"
