"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG192910120","shira101","ALS","1","3","value","24","13","0","1","0","0","","","","","","19291012","0","CHI09","CAG","l","exhibition","y"
"CAG192910130","shira101","ALS","1","3","value","24","11","0","0","2","0","","","","","","19291013","0","CHI09","CAG","l","exhibition","y"
"CAG192910140","shira101","ALS","1","3","value","27","13","0","1","0","0","","","","","","19291014","0","CHI09","CAG","w","exhibition","y"
"CAG192910150","shira101","ALS","1","3","value","24","12","2","1","2","0","","","","","","19291015","0","CHI09","CAG","l","exhibition","y"
"CAG192910170","shira101","ALS","1","3","value","24","12","2","1","1","0","","","","","","19291017","0","SPR02","CAG","l","exhibition","y"
"CAG193010050","shira101","ALS","1","3","value","15","5","0","0","1","0","","","","","1","19301005","0","CHI09","CAG","l","exhibition","y"
"CAG193010050","shira101","ALS","2","1","value","9","0","0","0","0","0","","","","","1","19301005","0","CHI09","CAG","l","exhibition","y"
"PRG193010290","shira101","ASG","1","3","value","","9","0","1","2","0","","","","","1","19301029","0","LOS02","PRG","w","exhibition","y"
"PRG193011230","shira101","KLK","1","3","value","24","7","1","0","0","0","","","","","1","19301123","0","LOS02","PRG","l","exhibition","y"
