"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"CAG193909042","joneh105","CAG","1","1","value","","","","0","","0","0","","","","1","19390904","2","CHI09","MEM","w","regular",""
"KCM194006091","joneh105","CAG","1","1","value","10","1","2","0","0","0","","","","","","19400609","1","KAN05","KCM","l","regular","y"
"CAG194006162","joneh105","CAG","1","1","value","","","","0","","0","0","","","","","19400616","2","CHI09","KCM","l","regular",""
"IN8194006232","joneh105","CAG","1","1","value","9","","","0","","0","0","","","","1","19400623","2","LOU05","IN8","l","regular",""
