"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"CAG194209072","welcw101","BIR","1","value","12","","18","6","1","0","0","2","2","2","","1","0","0","0","1","","","","","","1","","1","","1","19420907","2","KAN05","CAG","l","regular","y"
"BIR194209221","welcw101","BIR","1","value","21","","","4","","","","2","","","","","","","","","","","","","1","","","1","","1","19420922","1","STJ01","CI2","w","exhibition",""
"BIR194308112","welcw101","BIR","1","value","24","","","","","","2","","","","","","","","","","","","","","","","","1","","","19430811","2","WIN01","CI2","t","regular",""
