"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PRG193110170","thomf105","PIR","1","value","24","","32","10","","","0","5","","0","","","0","0","0","0","","","1","","1","","1","19311017","0","LOS05","PRG","L","exhibition","y"
"PRG193110170","thomf105","PIR","1","lower","24","","32","10","","","0","5","","0","","","0","0","0","0","","","","","","","","19311017","0","LOS05","PRG","L","exhibition","y"
"PRG193110170","thomf105","PIR","1","upper","24","","32","10","","","0","5","","0","","","0","0","0","0","","","","","","","","19311017","0","LOS05","PRG","L","exhibition","y"
"PRK194211220","thomf105","PRK","1","value","15","","20","4","","","0","1","","1","","3","0","0","0","1","","","1","","1","","","19421122","0","SAN03","PRG","L","exhibition","y"
"PRK194211220","thomf105","PRK","1","lower","15","","","","","","0","1","","1","","3","0","0","0","","","","","","","","","19421122","0","SAN03","PRG","L","exhibition","y"
"PRK194211220","thomf105","PRK","1","upper","15","","","","","","0","1","","1","","3","0","0","0","","","","","","","","","19421122","0","SAN03","PRG","L","exhibition","y"
"BCG194310312","thomf105","PIR","1","value","18","","29","8","","","0","3","2","2","","1","0","0","0","0","","","","","1","","1","19431031","2","LOS04","BCG","T","exhibition","y"
"BCG194310312","thomf105","PIR","1","lower","18","","29","8","","","0","3","2","2","","1","0","0","0","0","","","","","","","","19431031","2","LOS04","BCG","T","exhibition","y"
"BCG194310312","thomf105","PIR","1","upper","18","","29","8","","","0","3","2","2","","1","0","0","0","0","","","","","","","","19431031","2","LOS04","BCG","T","exhibition","y"
"BCG194311072","thomf105","PIR","1","value","15","","18","5","","","0","3","3","0","","0","0","0","0","0","","1","","","1","","1","19431107","2","LOS04","BCG","W","exhibition","y"
"BCG194311072","thomf105","PIR","1","lower","15","","18","5","","","0","3","3","0","","0","0","0","0","0","","","","","","","","19431107","2","LOS04","BCG","W","exhibition","y"
"BCG194311072","thomf105","PIR","1","upper","15","","18","5","","","0","3","3","0","","0","0","0","0","0","","","","","","","","19431107","2","LOS04","BCG","W","exhibition","y"
