"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"ACY192610020","lockh101","ACY","2","value","22","0","29","4","1","1","0","0","0","6","0","3","0","0","0","0","0","","","","","1","","19261002","0","ACY01","CAG","L","championship","y"
"ACY192610020","lockh101","ACY","2","lower","22","0","29","4","1","1","0","0","0","6","0","3","0","0","0","0","0","","","","","","","19261002","0","ACY01","CAG","L","championship","y"
"ACY192610020","lockh101","ACY","2","upper","22","0","29","4","1","1","0","0","0","6","0","3","0","0","0","0","0","","","","","","","19261002","0","ACY01","CAG","L","championship","y"
"CAG192610090","lockh101","ACY","1","value","25","0","38","9","1","1","0","5","4","4","0","1","1","0","0","0","0","","1","","1","","","19261009","0","CHI09","CAG","L","championship","y"
"CAG192610090","lockh101","ACY","1","lower","25","0","38","9","1","1","0","5","4","4","0","1","1","0","0","0","0","","","","","","","19261009","0","CHI09","CAG","L","championship","y"
"CAG192610090","lockh101","ACY","1","upper","25","0","38","9","1","1","0","5","4","4","0","1","1","0","0","0","0","","","","","","","19261009","0","CHI09","CAG","L","championship","y"
"CAG192610140","lockh101","ACY","1","value","25","0","30","4","0","0","0","1","1","1","0","0","0","0","0","2","0","","1","","1","","1","19261014","0","CHI09","CAG","L","championship","y"
"CAG192610140","lockh101","ACY","1","lower","25","0","30","4","0","0","0","1","1","1","0","0","0","0","0","2","0","","","","","","","19261014","0","CHI09","CAG","L","championship","y"
"CAG192610140","lockh101","ACY","1","upper","25","0","30","4","0","0","0","1","1","1","0","1","0","0","0","2","0","","","","","","","19261014","0","CHI09","CAG","L","championship","y"
"CAG192710020","lockh101","ACY","2","value","12","0","18","3","0","0","0","2","2","1","0","3","0","0","0","1","0","","","","","1","","19271002","0","CHI09","CAG","L","championship","y"
"CAG192710020","lockh101","ACY","2","lower","12","0","18","3","0","0","0","2","2","1","0","3","0","0","0","1","0","","","","","","","19271002","0","CHI09","CAG","L","championship","y"
"CAG192710020","lockh101","ACY","2","upper","12","0","18","3","0","0","0","2","2","1","0","3","0","0","0","1","0","","","","","","","19271002","0","CHI09","CAG","L","championship","y"
"CAG192710030","lockh101","ACY","3","value","18","0","23","4","0","1","0","2","1","1","0","1","0","0","0","1","0","","","","","1","","19271003","0","CHI09","CAG","L","championship","y"
"CAG192710030","lockh101","ACY","3","lower","18","0","23","4","0","1","0","2","1","1","0","1","0","0","0","1","0","","","","","","","19271003","0","CHI09","CAG","L","championship","y"
"CAG192710030","lockh101","ACY","3","upper","18","0","23","4","0","1","0","2","1","1","0","1","0","0","0","1","0","","","","","","","19271003","0","CHI09","CAG","L","championship","y"
"ACY192710100","lockh101","ACY","1","value","30","0","36","5","1","0","1","1","1","2","0","5","0","0","0","1","0","","","","1","","1","19271010","0","ACY01","CAG","T","championship","y"
"ACY192710100","lockh101","ACY","1","lower","30","0","36","5","1","0","1","1","1","2","0","5","0","0","0","1","0","","","","","","","19271010","0","ACY01","CAG","T","championship","y"
"ACY192710100","lockh101","ACY","1","upper","30","0","36","5","1","0","1","1","1","2","0","5","0","0","0","1","0","","","","","","","19271010","0","ACY01","CAG","T","championship","y"
"ACY192710130","lockh101","ACY","1","value","5","0","11","3","0","0","2","5","4","3","0","0","0","0","0","1","0","","1","","1","","","19271013","0","ACY01","CAG","L","championship","y"
"ACY192710130","lockh101","ACY","1","lower","5","0","11","3","0","0","2","5","4","3","0","0","0","0","0","1","0","","","","","","","19271013","0","ACY01","CAG","L","championship","y"
"ACY192710130","lockh101","ACY","1","upper","5","0","11","3","0","0","2","5","4","3","0","0","0","0","0","1","0","","","","","","","19271013","0","ACY01","CAG","L","championship","y"
