"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"ASW195808240","alste101","ASE","7","1","value","2","1","0","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19580824","0","CHI10","ASW","w","allstar","y"
"ASW195808310","alste101","ASE","","","value","","","","","","","","","","","","","","","","","","","","","","","19580831","0","NYC16","ASW","w","allstar",""
