"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194405141","harvb101","BLG","9","2","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440514","1","BAL14","HOM","w","regular","y"
"BLG194405142","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440514","2","BAL14","HOM","l","regular",""
"BLG194405240","harvb101","BLG","9","1","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440524","0","BAL14","HOM","l","regular","y"
"HOM194405281","harvb101","BLG","7","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440528","1","WAS09","HOM","l","regular","y"
"HOM194405282","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440528","2","WAS09","HOM","l","regular",""
"HOM194405302","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440530","2","PIT06","HOM","w","regular",""
"BLG194406042","harvb101","BLG","","","value","","","0","1","","","","0","","","","","","","","","","","","","","","19440604","2","BAL14","NW2","l","regular",""
"BLG194406042","harvb101","BLG","","","lower","","1","0","1","","","","0","","","","","","","","","","","","","","","19440604","2","BAL14","NW2","l","regular",""
"PH5194406080","harvb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440608","0","PHI17","PH5","l","regular",""
"NY6194406112","harvb101","BLG","","","value","","","0","","","","","0","","","","","","","","","","","","","","","19440611","2","DET04","NY6","l","regular",""
"BLG194406160","harvb101","BLG","","","value","","","1","1","","","1","","","","","","","","","","","","","","","","19440616","0","BAL14","PH5","l","regular",""
"BLG194406160","harvb101","BLG","","","lower","","1","1","1","","","1","","","","","","","","","","","","","","","","19440616","0","BAL14","PH5","l","regular",""
"PH5194406170","harvb101","BLG","7","1","value","5","4","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19440617","0","PHI17","PH5","w","regular","y"
"BLG194406181","harvb101","BLG","9","3","value","1","0","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19440618","1","BAL14","NY6","l","regular","y"
"NY6194406251","harvb101","BLG","6","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19440625","1","NYC16","NY6","w","regular","y"
"HOM194406270","harvb101","BLG","9","1","value","4","1","1","0","0","0","0","0","0","","0","3","","","0","","","0","","","","","19440627","0","HRB01","HOM","l","regular","y"
"BLG194406300","harvb101","BLG","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19440630","0","BAL14","KCM","l","exhibition","y"
