"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CAG194205032","bensc101","CAG","","","value","","","","","","","","","","","","","","","","","","","","","","","19420503","2","OKC01","JAX","w","exhibition",""
"BIR194205172","bensc101","CAG","8","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19420517","2","BIR01","BIR","l","regular","y"
