"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"CAG194709050","vazqa101","IN9","1","value","27","","38","9","0","1","0","5","","1","","3","1","0","0","0","","1","","","1","","1","19470905","0","DCT02","CAG","W","regular","y"
"CAG194709050","vazqa101","IN9","1","lower","27","","36","9","0","1","0","5","","1","","3","1","0","0","0","","","","","","","","19470905","0","DCT02","CAG","W","regular","y"
"CAG194709050","vazqa101","IN9","1","upper","27","","38","9","0","1","0","5","","1","","3","1","0","0","0","","","","","","","","19470905","0","DCT02","CAG","W","regular","y"
"KCM194709212","vazqa101","IN9","2","value","9","","13","2","0","0","1","3","","1","","1","1","0","0","","","","1","","","1","","19470921","2","CBI01","KCM","L","exhibition","y"
"KCM194709212","vazqa101","IN9","2","lower","9","","","2","0","0","","3","","1","","1","1","0","0","","","","","","","","","19470921","2","CBI01","KCM","L","exhibition","y"
"KCM194709212","vazqa101","IN9","2","upper","9","","","2","0","0","","3","","1","","1","1","0","0","","","","","","","","","19470921","2","CBI01","KCM","L","exhibition","y"
"IN9194709220","vazqa101","IN9","1","value","11","","23","11","","0","1","9","7","1","","3","0","0","0","","","","1","","1","","","19470922","0","NFN01","KCM","L","exhibition","y"
"IN9194709220","vazqa101","IN9","1","lower","11","","","11","","0","1","9","7","1","","3","0","0","0","","","","","","","","","19470922","0","NFN01","KCM","L","exhibition","y"
"IN9194709220","vazqa101","IN9","1","upper","11","","","11","","0","1","9","7","1","","3","0","0","0","","","","","","","","","19470922","0","NFN01","KCM","L","exhibition","y"
