"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"HWS194307181","baurj101","HWS","1","value","27","","39","11","4","0","0","4","3","1","","5","0","2","0","1","","","1","","1","","1","19430718","1","OIL01","HSL","L","exhibition","y"
"HWS194307181","baurj101","HWS","1","lower","27","","37","11","4","0","0","4","3","1","","5","0","2","0","1","","","","","","","","19430718","1","OIL01","HSL","L","exhibition","y"
"HWS194307181","baurj101","HWS","1","upper","27","","39","11","4","0","0","4","3","1","","5","0","2","0","1","","","","","","","","19430718","1","OIL01","HSL","L","exhibition","y"
"HWS194307250","baurj101","HWS","1","value","21","","30","9","","","0","4","","3","","3","0","0","0","2","","","","","1","","","19430725","0","UNI01","HSL","W","exhibition","y"
"HWS194307250","baurj101","HWS","1","lower","","","","","","","0","","","3","","3","0","0","0","","","","","","","","","19430725","0","UNI01","HSL","W","exhibition","y"
"HWS194307250","baurj101","HWS","1","upper","","","","","","","0","","","3","","3","0","0","0","","","","","","","","","19430725","0","UNI01","HSL","W","exhibition","y"
