"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCR194311110","seinb101","WPS","2","value","11","","13","2","","","0","0","0","0","","1","0","0","0","0","","","","","","","","","1","","19431111","0","LOS02","KCR","l","exhibition","y"
"KCR194311142","seinb101","MLS","1","value","21","","","3","","","","0","0","","","","","","","","","","","","1","","","1","","1","19431114","2","LOS02","KCR","w","exhibition",""
