"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"MEM194904160","wootn101","MEM","1","1","value","","","","","","","","","","","1","19490416","0","TUP01","LCB","l","exhibition",""
"MEM194904200","wootn101","MEM","1","1","value","","","","","","","","","","","1","19490420","0","MUS01","LCB","w","exhibition",""
