"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM194309160","malob102","KCM","1","1","value","","","","0","","0","0","","","","1","19430916","0","KAN05","CI2","w","exhibition",""
"KCM194407200","malob102","KCM","1","1","value","10","0","0","0","0","0","","","","","","19440720","0","KAN05","BIR","l","regular","y"
