"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PTC193806040","willr106","NY5","3","value","3","","4","1","","0","0","0","0","0","","1","1","","","","","","","","","","","","1","","19380604","0","PIT09","PTC","l","regular","y"
"HOM193807180","willr106","NY5","3","value","2","","","","","","","","","","","","","","","","","","","","","","","","1","","19380718","0","DAY03","HOM","l","exhibition",""
"HOM193807180","willr106","NY5","3","lower","1","","","","","","","0","","","","","","","","","","","","","","","","","","","19380718","0","DAY03","HOM","l","exhibition",""
"HOM193807180","willr106","NY5","3","upper","3","","","","","","","7","","","","","","","","","","","","","","","","","","","19380718","0","DAY03","HOM","l","exhibition",""
"HOM193807190","willr106","NY5","1","value","15","","24","8","","0","1","7","","2","","","0","","","","","","","","","1","","1","","","19380719","0","COL05","HOM","l","regular","y"
"PH5193808202","willr106","NY5","1","value","16","","28","8","","","","8","","","","","","","","","","","","","","","","1","","","19380820","2","PHI17","PH5","l","exhibition","y"
"HOM193905100","willr106","NY5","3","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19390510","0","MSN01","HOM","l","exhibition",""
"HOM193905120","willr106","NY5","1","value","27","","36","4","3","0","0","2","","1","","5","0","0","0","0","","","","","1","","","1","","1","19390512","0","PIT06","HOM","w","regular","y"
"TLC193905150","willr106","NY5","1","value","27","","","","","","","6","","","","","","","","","","","","","1","","","1","","1","19390515","0","DAY03","TLC","w","regular",""
"BLG193905281","willr106","NY5","1","value","26","0","42","9","2","0","2","8","5","2","0","6","2","0","0","0","0","0","0","0","1","","","1","","","19390528","1","BAL10","BLG","w","regular","y"
"PH5193906010","willr106","NY5","1","value","15","0","19","4","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","1","","1","19390601","0","PHI17","PH5","t","regular","y"
"NW2193906220","willr106","NY5","1","value","27","","","9","","","","5","","","","","","","","","","","","","1","","","1","","1","19390622","0","CHA03","NW2","w","exhibition",""
"NW2193907130","willr106","NY5","2","value","1","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","","19390713","0","NWK04","NW2","l","regular","y"
"PH5193907221","willr106","NY5","1","value","19","","38","16","","","3","12","","4","","","0","0","0","0","","","","","","","","1","","","19390722","1","PHI17","PH5","l","regular","y"
"BLG193907302","willr106","NY5","1","value","","","","","","","","","","","","","","","","","","","","","1","","","1","","","19390730","2","IND10","BLG","w","regular",""
"NY5193908062","willr106","NY5","1","value","4","","","6","","","1","7","","","","","","","","","","","","","","","","1","","","19390806","2","NOL01","SSA","w","exhibition",""
"NY5193908062","willr106","NY5","1","lower","3","","","6","","","1","2","","","","","","","","","","","","","","","","1","","","19390806","2","NOL01","SSA","w","exhibition",""
"NY5193908062","willr106","NY5","1","upper","5","","","6","","","1","7","","","","","","","","","","","","","","","","1","","","19390806","2","NOL01","SSA","w","exhibition",""
"NY5193908271","willr106","NY5","1","value","27","0","34","7","1","1","0","1","1","2","0","3","0","0","0","1","0","1","0","0","1","","","1","","1","19390827","1","WAS09","NW2","w","exhibition","y"
"NY5193909041","willr106","NY5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19390904","1","NYC23","NY6","l","regular",""
"PH5194006200","willr106","NY5","1","value","24","","34","10","2","0","0","6","","4","","","0","0","0","0","","","","","","1","","1","","1","19400620","0","PHI17","PH5","l","regular","y"
"BLG194006231","willr106","NY5","3","value","9","","12","2","0","0","0","0","0","2","0","3","0","0","0","0","0","","","","1","","","","1","","19400623","1","BAL09","BLG","w","regular","y"
"HOM194006301","willr106","NY5","1","value","21","","29","4","0","0","1","4","","6","0","3","0","0","0","2","0","","","","","1","","1","","","19400630","1","WAS09","HOM","l","regular","y"
"HOM194006302","willr106","NY5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19400630","2","WAS09","HOM","l","regular",""
"NY5194007072","willr106","NY5","1","value","25","","33","4","0","1","1","3","3","5","0","3","0","0","0","1","0","","","","","","","1","","","19400707","2","NYC16","HOM","l","regular","y"
