"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"ASW193608230","byrdb101","ASE","9","2","value","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","","1","","19360823","0","CHI10","ASW","w","allstar","y"
"PH5193609170","byrdb101","WEG","9","1","value","3","3","2","1","0","0","0","","0","","0","0","","","0","","","","","","","","19360917","0","PHI17","PH5","w","championship","y"
"PH5193609201","byrdb101","WEG","9","1","value","4","4","1","1","0","1","0","","0","","0","","","","0","","","0","","","","","19360920","1","NYC14","PH5","w","exhibition","y"
"NNS193709261","byrdb101","NNS","9","3","value","1","0","0","0","0","0","0","","0","","0","1","","","0","","","0","","","","","19370926","1","NYC16","SDO","l","exhibition","y"
"BLG193805011","byrdb101","BLG","9","1","value","5","3","1","1","0","0","1","","0","","0","2","","","0","","","","","","","","19380501","1","NSH02","PH5","w","exhibition","y"
"BLG193805030","byrdb101","BLG","4","1","value","4","2","0","1","","","","","0","","0","0","","","","","","","","","","","19380503","0","NSH02","CAG","w","exhibition","y"
"PH5193805160","byrdb101","BLG","","2","value","","","","","","","","","","","","","","","","","","","","","","","19380516","0","CHE02","PH5","l","regular",""
"HOM193806120","byrdb101","BLG","6","1","value","4","3","0","0","","","","","1","","0","0","","","","","","","","","","","19380612","0","IND10","HOM","l","regular","y"
"HOM193806140","byrdb101","BLG","5","1","value","4","4","0","0","","","0","0","0","0","0","0","0","","","","","","","","","","19380614","0","LOU05","HOM","l","regular","y"
"HOM193806160","byrdb101","BLG","6","1","value","4","4","0","1","","","","","0","","0","0","0","","","","","","","","","","19380616","0","MID02","HOM","l","regular","y"
"BLG193807101","byrdb101","BLG","9","2","value","4","4","1","1","","","","","0","","0","0","0","","","","","","","","","","19380710","1","BAL14","HOM","l","regular","y"
"PH5193808040","byrdb101","BLG","9","1","value","4","4","2","2","","","","","","","","","","","","","","","","","","","19380804","0","PHI17","PH5","w","regular","y"
"PTC193808250","byrdb101","BLG","","1","value","","","","","","","","","","","","","","","","","","","","","","","19380825","0","COL05","PTC","l","regular",""
"SAS193810020","byrdb101","NAS","9","1","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19381002","0","MEM02","SAS","l","allstar","y"
"BLG193904231","byrdb101","BLG","9","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19390423","1","NSH02","CAG","w","exhibition","y"
"BLG193905141","byrdb101","BLG","9","1","value","4","3","0","0","0","0","0","0","0","","0","1","","","0","","","0","","","","","19390514","1","BAL10","HOM","l","regular","y"
"NW2193905211","byrdb101","BLG","9","1","value","3","2","0","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19390521","1","NWK04","NW2","l","regular","y"
"BLG193905281","byrdb101","BLG","9","1","value","3","3","0","1","1","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19390528","1","BAL10","NY5","l","regular","y"
"BLG193905282","byrdb101","BLG","8","2","value","1","1","0","1","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19390528","2","BAL10","NY5","l","regular","y"
"NY5193905301","byrdb101","BLG","9","2","value","1","1","1","1","0","0","1","1","0","","0","0","0","0","0","","","0","","","","","19390530","1","NYC23","NY5","w","regular","y"
"NY5193905302","byrdb101","BLG","9","4","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","1","","19390530","2","NYC23","NY5","l","regular","y"
"NY6193906041","byrdb101","BLG","9","1","value","4","4","1","1","0","0","1","1","0","0","0","0","0","","0","0","0","0","0","","","","19390604","1","NYC16","NY6","w","regular","y"
"PH5193906080","byrdb101","BLG","9","3","value","3","3","0","0","","","","","","","","","","","","","","","","","","","19390608","0","PHI17","PH5","w","regular","y"
"HOM193906111","byrdb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19390611","1","COL05","HOM","w","regular",""
"HOM193906150","byrdb101","BLG","","","value","","","","1","","1","","","","","","","","","","","","","","","","","19390615","0","CHA01","HOM","w","exhibition",""
"HOM193906150","byrdb101","BLG","","","lower","","1","","1","","1","","","","","","","","","","","","","","","","","19390615","0","CHA01","HOM","w","exhibition",""
"PH5193906270","byrdb101","BLG","9","1","value","4","4","0","2","","","","","0","","0","0","0","","0","","","0","","","","","19390627","0","PHI17","PH5","w","regular","y"
"NY5193907022","byrdb101","BLG","3","2","value","4","4","1","2","0","0","0","2","0","0","0","0","0","","0","0","0","0","0","","","","19390702","2","NYC16","NY5","w","regular","y"
"PH5193907081","byrdb101","BLG","9","1","value","4","4","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","19390708","1","PHI17","PH5","w","regular","y"
"BLG193907161","byrdb101","BLG","9","3","value","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","","19390716","1","BAL10","NY6","l","regular","y"
"BLG193907162","byrdb101","BLG","9","1","value","3","3","2","3","1","0","1","5","0","0","0","0","0","","0","0","0","0","0","","","","19390716","2","BAL10","NY6","w","regular","y"
"BLG193907231","byrdb101","BLG","7","2","value","1","1","0","1","0","0","0","1","0","0","0","0","0","","0","0","0","0","0","","1","","19390723","1","WAS09","NW2","l","regular","y"
"BLG193907301","byrdb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19390730","1","IND10","NY5","w","regular",""
"ASW193908060","byrdb101","ASE","9","1","value","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390806","0","CHI10","ASW","l","allstar","y"
"ASE193908270","byrdb101","ASE","9","1","value","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390827","0","NYC16","ASW","w","allstar","y"
"BLG193909031","byrdb101","BLG","9","1","value","4","4","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","","","","19390903","1","NWK04","PH5","w","regular","y"
"NW2193909060","byrdb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390906","0","NWK04","NW2","l","divisionseries","y"
"BLG193909101","byrdb101","BLG","9","1","value","4","3","1","2","0","0","1","2","0","0","0","1","0","","0","0","0","0","0","","","","19390910","1","BAL10","NW2","w","divisionseries","y"
"HOM193909160","byrdb101","BLG","9","1","value","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","19390916","0","PHI17","HOM","l","lcs","y"
"HOM193909230","byrdb101","BLG","9","1","value","5","5","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","19390923","0","PHI17","HOM","w","lcs","y"
"HOM194105041","byrdb101","BLG","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410504","1","WAS09","HOM","l","exhibition","y"
"HOM194105042","byrdb101","BLG","9","3","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410504","2","WAS09","HOM","w","exhibition","y"
"HOM194105100","byrdb101","BLG","4","3","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410510","0","HRB01","HOM","l","regular","y"
"BLG194105111","byrdb101","BLG","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410511","1","BAL10","HOM","w","regular","y"
"PH5194105170","byrdb101","BLG","9","1","value","4","4","1","3","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410517","0","PHI17","PH5","w","regular","y"
"NW2194105251","byrdb101","BLG","9","1","value","5","4","1","1","0","0","0","","0","","0","1","","","0","","","0","","","","","19410525","1","NWK04","NW2","w","regular","y"
"NW2194105252","byrdb101","BLG","9","3","value","1","1","1","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19410525","2","NWK04","NW2","l","regular","y"
"NY6194105301","byrdb101","BLG","9","1","value","3","3","0","0","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19410530","1","NYC16","NY6","l","regular","y"
"BLG194106012","byrdb101","BLG","3","2","value","1","1","0","1","1","0","0","1","0","","0","0","0","","0","","","0","","","","","19410601","2","BAL10","NY6","w","regular","y"
"HOM194106081","byrdb101","BLG","9","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19410608","1","WAS09","HOM","l","regular","y"
"HOM194106082","byrdb101","BLG","8","2","value","2","2","1","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19410608","2","WAS09","HOM","w","regular","y"
"BLG194106151","byrdb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19410615","1","NSH02","NY5","l","regular",""
