"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"HOM193908061","jackj104","HOM","1","6","value","27","2","1","0","0","0","","","","","1","19390806","1","IND10","NW2","w","exhibition","y"
"NW2193908100","jackj104","HOM","1","6","value","24","","","1","0","0","","","","","1","19390810","0","NWK04","NW2","l","regular","y"
"NY5193908132","jackj104","HOM","1","6","value","27","5","3","0","1","0","","","","","1","19390813","2","NYC16","NY5","w","regular","y"
"HOM193908240","jackj104","HOM","1","6","value","27","0","6","0","1","0","","","","","1","19390824","0","WAR03","BLG","w","regular","y"
"HOM193908272","jackj104","HOM","1","6","value","21","0","1","0","0","0","","","","","1","19390827","2","WAS09","NY5","t","exhibition","y"
"PH5193909020","jackj104","HOM","1","6","value","26","2","0","0","0","0","","","","","1","19390902","0","CHE01","PH5","l","regular","y"
"NW2193909032","jackj104","HOM","1","6","value","27","0","0","0","0","0","","","","","1","19390903","2","NWK04","NW2","w","regular","y"
"BLG193909042","jackj104","HOM","1","6","value","27","","","0","","0","0","","","","","19390904","2","NYC23","BLG","w","regular",""
"PH5193909130","jackj104","HOM","1","6","value","24","2","0","0","0","0","","","","","1","19390913","0","PHI17","PH5","l","divisionseries","y"
"PH5193909140","jackj104","HOM","1","6","value","27","0","0","0","0","0","","","","","1","19390914","0","PHI17","PH5","w","divisionseries","y"
"HOM193909160","jackj104","HOM","1","6","value","27","1","0","0","0","0","","","","","1","19390916","0","PHI17","BLG","w","lcs","y"
"BLG193909171","jackj104","HOM","1","6","value","24","0","0","1","0","0","","","","","1","19390917","1","BAL10","BLG","l","lcs","y"
"BLG193909172","jackj104","HOM","1","6","value","15","0","1","0","1","0","","","","","1","19390917","2","BAL10","BLG","t","lcs","y"
"HOM193909230","jackj104","HOM","1","6","value","13","0","1","0","0","0","","","","","1","19390923","0","PHI17","BLG","l","lcs","y"
"BLG193909240","jackj104","HOM","1","6","value","24","1","3","0","0","0","","","","","1","19390924","0","NYC16","BLG","l","lcs","y"
"MLS193910080","jackj104","NNS","1","6","value","24","1","0","0","0","0","","","","","1","19391008","0","BAL09","MLS","l","exhibition","y"
"HOM194004050","jackj104","HOM","1","6","value","27","","","0","0","0","","","","","1","19400405","0","ORL01","CV9","w","exhibition","y"
"HOM194004281","jackj104","HOM","1","6","value","27","1","5","1","1","0","","","","","1","19400428","1","NOL01","KCM","w","exhibition","y"
"HOM194004282","jackj104","HOM","1","6","value","21","0","2","0","0","0","","","","","1","19400428","2","NOL01","KCM","w","exhibition","y"
"HOM194005030","jackj104","HOM","1","6","value","27","5","","0","1","0","","","","","1","19400503","0","MNL01","CAG","w","exhibition","y"
"HOM194005110","jackj104","HOM","1","6","value","27","1","6","0","1","0","","","","","1","19400511","0","PIT06","NY6","w","regular","y"
"HOM194005121","jackj104","HOM","1","6","value","27","","","0","0","0","","","","","1","19400512","1","WAS09","NY6","w","regular","y"
"HOM194005122","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19400512","2","WAS09","NY6","w","regular","y"
"HOM194005180","jackj104","HOM","1","6","value","27","2","5","0","0","0","","","","","1","19400518","0","HRB01","BLG","l","regular","y"
"HOM194005191","jackj104","HOM","1","6","value","27","","","0","2","0","","","","","1","19400519","1","WAS09","BLG","w","regular","y"
"HOM194005192","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19400519","2","WAS09","BLG","l","regular","y"
"HOM194005261","jackj104","HOM","1","6","value","27","0","0","0","0","0","","","","","1","19400526","1","NYC16","PH5","w","regular","y"
"PH5194006011","jackj104","HOM","1","6","value","27","1","2","1","0","0","","","","","1","19400601","1","PHI17","PH5","w","regular","y"
"PH5194006012","jackj104","HOM","1","6","value","21","3","6","0","1","0","","","","","1","19400601","2","PHI17","PH5","w","regular","y"
"PH5194006060","jackj104","HOM","1","6","value","27","4","2","0","1","0","","","","","1","19400606","0","PHI17","PH5","w","regular","y"
"NW2194006091","jackj104","HOM","1","6","value","24","","","1","1","0","","","","","1","19400609","1","NWK04","NW2","l","regular","y"
"NW2194006092","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19400609","2","NWK04","NW2","w","regular","y"
"NW2194006130","jackj104","HOM","1","6","value","27","","","0","1","0","","","","","1","19400613","0","NWK04","NW2","w","regular","y"
"HOM194006161","jackj104","HOM","1","6","value","27","0","4","0","0","0","","","","","1","19400616","1","WAS09","NW2","w","regular","y"
"HOM194006162","jackj104","HOM","1","6","value","21","0","2","1","0","0","","","","","1","19400616","2","WAS09","NW2","l","regular","y"
"HOM194006200","jackj104","HOM","1","6","value","27","0","4","0","0","0","","","","","1","19400620","0","PIT06","KCM","w","exhibition","y"
"HOM194006231","jackj104","HOM","1","6","value","30","","","0","0","0","","","","","1","19400623","1","WAS09","PH5","w","regular","y"
"HOM194006232","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19400623","2","WAS09","PH5","w","regular","y"
"HOM194006270","jackj104","HOM","1","6","value","27","2","4","0","1","0","","","","","1","19400627","0","WAR03","PH5","w","regular","y"
"HOM194006301","jackj104","HOM","1","6","value","27","","","0","0","0","","","","","1","19400630","1","WAS09","NY5","w","regular","y"
"HOM194007020","jackj104","HOM","1","6","value","12","","","1","2","0","","","","","1","19400702","0","BUF06","BLG","l","regular","y"
"HOM194007041","jackj104","HOM","1","6","value","3","0","0","0","0","0","","","","","","19400704","1","PIT06","BLG","w","regular","y"
"HOM194007042","jackj104","HOM","1","6","value","3","","","0","0","0","","","","","","19400704","2","PIT06","BLG","w","regular","y"
"PH5194007132","jackj104","HOM","1","6","value","","2","1","0","0","0","","","","","","19400713","2","PHI17","PH5","w","regular","y"
"BLG194007141","jackj104","HOM","1","6","value","18","0","1","1","0","0","","","","","1","19400714","1","BAL09","BLG","l","regular","y"
"BLG194007141","jackj104","HOM","2","4","value","6","","","1","0","0","","","","","1","19400714","1","BAL09","BLG","l","regular","y"
"BLG194007142","jackj104","HOM","1","6","value","","","","0","0","0","","","","","1","19400714","2","BAL09","BLG","l","regular","y"
"HOM194007281","jackj104","HOM","1","6","value","27","0","1","0","0","0","","","","","1","19400728","1","NYC16","BLG","w","regular","y"
"HOM194007282","jackj104","HOM","1","6","value","27","1","4","1","0","0","","","","","1","19400728","2","NYC16","BLG","l","regular","y"
"HOM194007310","jackj104","HOM","1","6","value","27","4","12","0","1","0","","","","","1","19400731","0","ALT02","PH5","w","regular","y"
"HOM194008010","jackj104","HOM","1","6","value","27","","","1","0","0","","","","","1","19400801","0","WAS09","PH5","l","exhibition","y"
"HOM194008041","jackj104","HOM","1","6","value","27","2","3","0","0","0","","","","","1","19400804","1","WAS09","NY6","w","regular","y"
"HOM194008042","jackj104","HOM","1","6","value","21","","","0","2","0","","","","","1","19400804","2","WAS09","NY6","w","regular","y"
"HOM194008090","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19400809","0","IND10","NY6","w","regular","y"
"HOM194008150","jackj104","HOM","1","6","value","","","","1","0","0","","","","","1","19400815","0","POR02","NY6","w","exhibition","y"
"HOM194008181","jackj104","HOM","1","6","value","27","","","1","2","0","","","","","1","19400818","1","WAS09","PH5","w","exhibition","y"
"HOM194008182","jackj104","HOM","1","6","value","21","","","0","0","0","","","","","1","19400818","2","WAS09","PH5","w","exhibition","y"
"NW2194008251","jackj104","HOM","1","6","value","24","","","1","0","0","","","","","1","19400825","1","NWK04","NW2","l","regular","y"
"NW2194008252","jackj104","HOM","1","6","value","18","","","0","0","0","","","","","1","19400825","2","NWK04","NW2","l","regular","y"
"HOM194009011","jackj104","HOM","1","6","value","27","","","2","1","0","","","","","1","19400901","1","WAS09","BLG","w","regular","y"
"HOM194009012","jackj104","HOM","1","6","value","21","","","1","1","0","","","","","1","19400901","2","WAS09","BLG","w","regular","y"
"PH5194009021","jackj104","HOM","1","6","value","27","3","","0","0","0","","","","","1","19400902","1","PHI17","PH5","w","regular","y"
"PH5194009022","jackj104","HOM","1","6","value","24","0","","0","0","0","","","","","1","19400902","2","PHI17","PH5","l","regular","y"
"HOM194009030","jackj104","HOM","1","5","value","21","4","2","0","1","0","","","","","1","19400903","0","ALT02","NY6","l","exhibition","y"
"HOM194009081","jackj104","HOM","1","6","value","27","1","3","0","0","0","","","","","1","19400908","1","NYC16","MEM","w","exhibition","y"
"HOM194009120","jackj104","HOM","1","6","value","27","2","4","0","0","0","","","","","1","19400912","0","HRB01","MEM","w","exhibition","y"
"HOM194009130","jackj104","HOM","1","6","value","27","3","4","0","1","0","","","","","1","19400913","0","BEL02","MEM","w","exhibition","y"
"BLG194009141","jackj104","HOM","1","6","value","27","0","","1","0","0","","","","","1","19400914","1","PHI17","BLG","w","exhibition","y"
"BLG194009142","jackj104","HOM","1","6","value","21","3","","0","0","0","","","","","1","19400914","2","PHI17","BLG","w","exhibition","y"
"NW2194405211","jackj104","HOM","1","6","value","27","1","0","0","0","0","","","","","1","19440521","1","NYC15","NW2","w","regular","y"
"NW2194405212","jackj104","HOM","1","6","value","27","3","3","0","1","0","","","","","1","19440521","2","NYC15","NW2","w","regular","y"
"BLG194405240","jackj104","HOM","1","6","value","27","","","0","0","0","","","","","1","19440524","0","BAL14","BLG","w","regular","y"
"HOM194405250","jackj104","HOM","1","6","value","27","","","0","1","0","","","","","1","19440525","0","WAS09","PH5","w","regular","y"
"HOM194405281","jackj104","HOM","1","6","value","27","0","3","0","0","0","","","","","1","19440528","1","WAS09","BLG","w","regular","y"
"HOM194405301","jackj104","HOM","1","6","value","","4","2","1","0","0","","","","","1","19440530","1","PIT06","BLG","l","regular","y"
"HOM194406020","jackj104","HOM","1","6","value","27","1","1","1","0","0","","","","","1","19440602","0","WAS09","NY6","l","regular","y"
"HOM194406031","jackj104","HOM","1","4","value","27","2","5","0","1","0","","","","","1","19440603","1","PIT06","NY6","w","regular","y"
"HOM194406041","jackj104","HOM","1","4","value","21","","","0","0","0","","","","","1","19440604","1","WAS09","NY6","w","regular","y"
"HOM194406080","jackj104","HOM","1","4","value","30","","","0","0","0","","","","","1","19440608","0","WAS09","BIR","l","exhibition","y"
"HOM194406112","jackj104","HOM","1","5","value","6","","","0","0","0","","","","","","19440611","2","WAS09","BIR","w","exhibition","y"
"PH5194406240","jackj104","HOM","1","5","value","9","1","3","0","0","0","","","","","","19440624","0","PHI17","PH5","w","exhibition","y"
"HOM194407110","jackj104","HOM","1","4","value","27","1","1","0","0","0","","","","","1","19440711","0","ALT02","NY6","l","regular","y"
"BLG194407140","jackj104","HOM","1","4","value","3","1","0","0","0","0","","","","","","19440714","0","BAL14","BLG","w","regular","y"
"PH5194407182","jackj104","HOM","1","5","value","3","0","0","0","0","0","","","","","0","19440718","2","PHI11","PH5","t","regular","y"
"HOM194407232","jackj104","HOM","1","5","value","","","","0","0","0","","","","","","19440723","2","WAS09","NW2","l","regular","y"
"HOM194407270","jackj104","HOM","1","5","value","9","","","0","0","0","","","","","","19440727","0","WAS09","PH5","l","regular","y"
"HOM194407301","jackj104","HOM","1","4","value","24","","","0","0","0","","","","","1","19440730","1","WAS09","NY5","w","regular","y"
"HOM194407302","jackj104","HOM","1","4","value","21","","","0","1","0","","","","","1","19440730","2","WAS09","NY5","w","regular","y"
"HOM194407310","jackj104","HOM","1","4","value","27","3","4","0","0","0","","","","","1","19440731","0","ALT02","NY5","w","regular","y"
"HOM194408010","jackj104","HOM","1","4","value","27","3","3","0","2","0","","","","","1","19440801","0","PIT06","NY5","w","regular","y"
"HOM194408061","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19440806","1","WAS09","PH5","w","regular","y"
"HOM194408062","jackj104","HOM","1","4","value","21","","","0","0","0","","","","","1","19440806","2","WAS09","PH5","w","regular","y"
"HOM194408071","jackj104","HOM","1","4","value","27","3","7","0","0","0","","","","","1","19440807","1","PHI11","NY6","l","regular","y"
"PH5194408072","jackj104","HOM","1","4","value","24","5","3","2","1","0","","","","","1","19440807","2","PHI11","PH5","l","regular","y"
"HOM194408080","jackj104","HOM","1","4","value","27","2","4","0","0","0","","","","","1","19440808","0","ALT02","BLG","w","regular","y"
"NW2194408180","jackj104","HOM","1","4","value","15","1","1","0","0","0","","","","","1","19440818","0","NWK04","NW2","w","regular","y"
"PH5194408190","jackj104","HOM","1","4","value","21","3","1","0","0","0","","","","","1","19440819","0","PHI17","PH5","l","regular","y"
"BLG194408250","jackj104","HOM","1","4","value","27","","","0","0","0","","","","","1","19440825","0","BAL14","BLG","w","regular","y"
"HOM194408260","jackj104","HOM","1","4","value","24","2","4","1","1","0","","","","","1","19440826","0","ALT02","NW2","w","regular","y"
"HOM194408271","jackj104","HOM","1","4","value","27","0","","0","0","0","","","","","1","19440827","1","PIT06","NW2","w","regular","y"
"HOM194408290","jackj104","HOM","1","4","value","27","","","0","1","0","0","","","","","19440829","0","NOR02","NW2","l","regular",""
"HOM194408310","jackj104","HOM","1","4","value","","","","0","0","0","","","","","1","19440831","0","WAS09","KCM","w","exhibition","y"
"PH5194409020","jackj104","HOM","1","4","value","27","4","4","0","1","0","","","","","1","19440902","0","PHI17","PH5","w","exhibition","y"
