"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","date","number","site","opp","wl","gametype","box"
"CI2194209170","saleu101","CI2","1","1","value","","","","0","","0","0","19420917","0","IND10","KCM","L","exhibition",""
"CI2194209170","saleu101","CI2","1","1","lower","","","","0","","0","0","19420917","0","IND10","KCM","L","exhibition",""
"CI2194209170","saleu101","CI2","1","1","upper","","","","0","","0","0","19420917","0","IND10","KCM","L","exhibition",""
