"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"PH5193806041","cruma101","WBS","3","1","value","4","4","0","0","","","0","","","","","","","","","","","","","","","","19380604","1","PHI17","PH5","l","regular","y"
"PH5193806060","cruma101","WBS","3","1","value","4","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19380606","0","CHE02","PH5","l","regular","y"
"WBS193806191","cruma101","WBS","6","1","value","3","3","0","3","0","0","0","","","","0","0","","","0","","","","","","","","19380619","1","WAS09","PTC","l","regular","y"
"BLG193807160","cruma101","WBS","5","1","value","4","4","0","1","","","","","0","","0","0","0","","","","","","","","","","19380716","0","BAL14","BLG","w","regular","y"
"MEM193809180","cruma101","ATN","5","1","value","4","3","0","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19380918","0","MEM02","MEM","l","lcs","y"
"MEM193809190","cruma101","ATN","6","2","value","2","1","0","0","0","0","0","0","0","0","0","1","0","","0","0","0","0","0","","","","19380919","0","MEM02","MEM","l","lcs","y"
