"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"PRG193410141","almal101","PIR","1","7","value","24","1","0","0","0","0","","","","","1","19341014","1","LOS05","PRG","l","exhibition","y"
"PRG193410281","almal101","PIR","1","3","value","24","10","1","0","2","0","","","","","1","19341028","1","LOS05","PRG","l","exhibition","y"
