"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"HOM194106090","cantd101","NY6","1","1","value","21","0","1","0","0","0","","","","","1","19410609","0","ALT02","HOM","l","regular","y"
"HOM194108280","cantd101","NY6","1","1","value","6","0","1","0","0","","","","","","","19410828","0","YOU01","HOM","l","regular","y"
