"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM194608210","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19460821","0","MUS01","KCM","l","regular",""
"MEM194608230","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19460823","0","MEM03","KCM","l","regular",""
"MEM194609180","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19460918","0","MUS01","CAG","l","exhibition",""
"MEM194704220","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19470422","0","LRK02","BIR","l","exhibition",""
"MEM194704271","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19470427","1","MEM02","PH5","l","exhibition",""
"MEM194705050","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19470505","0","LRK02","IN9","l","regular",""
"MEM194705112","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19470511","2","MEM02","CAG","l","regular",""
"MEM194705150","whitl101","MEM","9","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470515","0","GRE01","CAG","l","regular","y"
"KCM194705301","whitl101","MEM","9","1","value","5","4","0","1","0","0","0","2","1","","0","0","0","","0","","","0","","","","","19470530","1","KAN05","KCM","l","regular","y"
"MEM194805130","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480513","0","LRK02","IN9","t","regular",""
"MEM194805180","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480518","0","MEM02","CAG","l","regular",""
"MEM194806010","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480601","0","HOU04","BIR","l","regular",""
"MEM194806020","whitl101","MEM","","","value","","","","","","","","","","","","","","","","","","","","","","","19480602","0","NOL01","BIR","l","regular",""
"BIR194806250","whitl101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","","","19480625","0","CHT01","BIR","l","regular",""
"PH5194807081","whitl101","IN9","9","1","value","4","4","0","1","0","0","0","","0","","0","0","","","0","","","","","","","","19480708","1","PHI11","PH5","l","exhibition","y"
"KCM194807262","whitl101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","","","19480726","2","STL07","KCM","l","regular",""
"KCM194807280","whitl101","IN9","9","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19480728","0","STJ01","KCM","w","regular","y"
"KCM194906200","whitl101","MEM","4","2","value","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","1","19490620","0","WIC01","KCM","l","regular","y"
"KCM194906230","whitl101","MEM","9","2","value","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490623","0","STJ01","KCM","l","regular","y"
"MEM194906270","whitl101","MEM","","1","value","","","","","","","","","","","","","","","","","","","","","","","19490627","0","LRK02","IN9","l","regular",""
"MEM194907090","whitl101","MEM","9","1","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","19490709","0","GRE02","BIR","l","regular","y"
