"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"BLG193906190","wilsf104","NW2","3","value","4","","9","3","","","0","2","","2","","1","0","0","0","0","","0","","","","","","","","","19390619","0","RIC05","BLG","l","regular","y"
"BLG193907220","wilsf104","NW2","1","value","27","","36","15","3","0","2","5","","3","","","0","0","0","0","","","","","1","","","1","","1","19390722","0","WIL08","BLG","w","regular","y"
"NW2193908132","wilsf104","NW2","2","value","18","","26","5","0","0","0","4","","2","","","0","0","0","0","","","","","","1","","","","","19390813","2","NWK04","PH5","l","regular","y"
"BLG194304240","wilsf104","CI2","1","value","","","","","","","","","","","","","","","","","","","","","1","","","1","","","19430424","0","NOR01","BLG","w","exhibition",""
"BLG194304270","wilsf104","CI2","1","value","27","","","","","","","1","","","","","","","","","","","","","1","","","1","","1","19430427","0","POR01","BLG","w","exhibition",""
"BLG194305092","wilsf104","CI2","1","value","21","","30","4","2","0","0","2","2","2","","3","0","0","0","0","","","","","1","","","1","","1","19430509","2","BAL14","BLG","w","exhibition","y"
"CVB194305302","wilsf104","CI2","1","value","18","","23","6","1","1","0","4","3","0","","1","0","0","0","1","","","","","","1","","1","","1","19430530","2","CLE06","CVB","l","regular","y"
"BIR194306050","wilsf104","CI2","1","value","24","","","14","","","1","10","","","","","","","","","","","","","","1","","1","","1","19430605","0","CHT01","BIR","l","regular",""
"BIR194306082","wilsf104","CI2","1","value","12","","","10","","","1","6","","","","","","","","","","","","","","1","","1","","1","19430608","2","NOL01","BIR","l","regular",""
"CI2194306250","wilsf104","CI2","1","value","18","","","3","","","","0","0","","","","","","","","","","","","","","","1","","1","19430625","0","NSH02","MEM","t","regular",""
"MEM194306280","wilsf104","CI2","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19430628","0","LRK02","MEM","l","regular",""
"MEM194306300","wilsf104","CI2","1","value","27","","","7","","","","1","","","","","","","","","","","","","1","","","1","","1","19430630","0","CLA01","MEM","w","regular",""
"CI2194307052","wilsf104","CI2","1","value","15","","19","5","0","0","0","1","","1","0","0","0","0","0","","0","","","","1","","","1","","","19430705","2","CIN07","CVB","w","regular","y"
"CI2194307200","wilsf104","CI2","2","value","24","","33","9","0","0","0","2","","2","0","3","1","0","0","","0","","","","","","","","1","","19430720","0","DAV01","MEM","l","regular","y"
"CI2194307290","wilsf104","CI2","1","value","27","","","6","","","","1","","","","","","","","","","","","","1","","","1","","1","19430729","0","KOK02","CAG","w","regular",""
"CI2194307310","wilsf104","CI2","2","value","3","","","","","","","2","","","","","","","","","","","","","","","","","","","19430731","0","IND10","KCM","t","regular",""
"CI2194307310","wilsf104","CI2","2","upper","9","","","","","","","6","","","","","","","","","","","","","","","","","","","19430731","0","IND10","KCM","t","regular",""
"CI2194308040","wilsf104","CI2","1","value","27","","38","5","0","0","0","3","3","7","","7","1","1","0","0","","","","","1","","","1","","1","19430804","0","DAV01","BIR","w","regular","y"
"BIR194308081","wilsf104","CI2","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19430808","1","MIN05","BIR","l","regular",""
"BIR194308112","wilsf104","CI2","1","value","27","","","8","","","1","4","","","","","","","","","","","","","","","","1","","1","19430811","2","WIN01","BIR","t","regular",""
"KCM194309192","wilsf104","CI2","1","value","27","","","5","","","","2","","","","","","","","","","","","","1","","","1","","1","19430919","2","DAL01","KCM","w","exhibition",""
"MEM194309261","wilsf104","CI2","1","value","24","","","","","","","7","","","","","","","","","","","","","","1","","1","","1","19430926","1","MEM03","MEM","l","exhibition",""
"CIA194504300","wilsf104","CIA","3","value","","","","","","","","","","","","","","","","","","","","","1","","","","1","","19450430","0","HOU04","KCM","w","exhibition",""
"MEM194505062","wilsf104","CIA","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19450506","2","MEM03","MEM","l","regular",""
"CIA194505131","wilsf104","CIA","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19450513","1","CIN07","MEM","l","regular",""
"CIA194505201","wilsf104","CIA","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19450520","1","CIN07","CVB","l","regular",""
