"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"KCM193705161","mccah102","CAG","5","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19370516","1","KAN05","KCM","l","regular","y"
"JAX193805080","mccah102","BIR","6","1","value","4","4","0","0","0","0","0","","0","","0","0","","","0","","","","","","","","19380508","0","JKV01","JAX","l","exibition","y"
"MEM193806051","mccah102","BIR","5","1","value","4","4","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","","19380605","1","MEM02","MEM","l","regular","y"
"BIR193806261","mccah102","BIR","","","value","","","","1","","","","","","","","","","","","","","","","","","","19380626","1","BIR01","JAX","w","regular",""
"BIR193806261","mccah102","BIR","","","lower","1","1","","1","","","","","","","","","","","","","","","","","","","19380626","1","BIR01","JAX","w","regular",""
"BIR193806262","mccah102","BIR","","","value","","","","1","","1","","1","","","","","","","","","","","","","","","19380626","2","BIR01","JAX","w","regular",""
"BIR193806262","mccah102","BIR","","","lower","1","1","","1","","1","","1","","","","","","","","","","","","","","","19380626","2","BIR01","JAX","w","regular",""
"CAG193807042","mccah102","BIR","","","value","1","","","","","","","","","","","1","","","","","","","","","","","19380704","2","CHI09","CAG","w","regular",""
"MEM193807200","mccah102","BIR","","","value","","","","2","","","","","","","","","","","","","","","","","","","19380720","0","LRK02","MEM","l","regular",""
"MEM193807200","mccah102","BIR","","","lower","2","2","","2","","","","","","","","","","","","","","","","","","","19380720","0","LRK02","MEM","l","regular",""
"BIR193808200","mccah102","BIR","3","1","value","5","5","1","2","0","0","0","0","0","","0","0","0","","","","","","","","","","19380820","0","LEE01","CAG","w","exhibition","y"
"BIR193808211","mccah102","BIR","3","1","value","5","5","1","3","0","0","0","","0","","0","0","0","","","","","","","","","","19380821","1","BIR01","CAG","l","exhibition","y"
"CV9193905142","mccah102","CAG","9","4","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19390514","2","CLE07","CV9","l","regular","y"
"KCM193907200","mccah102","CAG","9","3","value","1","1","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","1","","19390720","0","REG01","KCM","l","exhibition","y"
"CAG194405141","mccah102","CAG","7","1","value","3","3","1","3","0","0","0","1","0","","0","0","0","0","0","","","0","","","","","19440514","1","CHI10","MEM","l","regular","y"
"CAG194406181","mccah102","CAG","7","2","value","3","3","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440618","1","CHI10","CVB","w","regular","y"
"CAG194407161","mccah102","CAG","7","1","value","3","3","0","1","0","0","0","1","0","","0","0","0","","0","","","0","","","","","19440716","1","CHI10","CIA","w","regular","y"
"CAG194407162","mccah102","CAG","","","value","","","","","","","","","","","","","","","","","","","","","","","19440716","2","CHI10","CIA","l","regular",""
"CAG194407162","mccah102","CAG","","","lower","","1","","","","","","","","","","","","","","","","","","","","","19440716","2","CHI10","CIA","l","regular",""
"CAG194505201","mccah102","CAG","5","1","value","4","4","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450520","1","COL05","KCM","l","regular","y"
"CAG194505250","mccah102","CAG","5","1","value","4","4","0","1","0","0","0","","0","","0","0","0","","0","","","0","","","","","19450525","0","SPR03","KCM","l","regular","y"
"CAG194505270","mccah102","CAG","5","1","value","4","4","0","2","1","0","0","2","0","","0","0","0","","0","","","0","","","","","19450527","0","CHI10","KCM","w","regular","y"
"CAG194505280","mccah102","CAG","5","1","value","4","4","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450528","0","MIL03","KCM","w","regular","y"
"CAG194505290","mccah102","CAG","5","1","value","4","4","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450529","0","RAC01","KCM","l","regular","y"
"CAG194505310","mccah102","CAG","5","1","value","5","3","1","2","0","0","0","","0","","0","2","","","0","","","0","","","","","19450531","0","SPR03","KCM","l","regular","y"
"CAG194506031","mccah102","CAG","5","1","value","4","3","0","1","0","0","0","","1","","0","0","0","","0","","","0","","","","","19450603","1","CHI10","MEM","w","regular","y"
"CAG194506050","mccah102","CAG","5","1","value","4","4","1","2","1","0","0","1","0","","0","0","0","","1","","","0","","","","","19450605","0","MIL03","MEM","w","regular","y"
"CAG194506101","mccah102","CAG","5","1","value","4","4","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19450610","1","CHI10","BIR","l","regular","y"
"CAG194509100","mccah102","CAG","9","3","value","2","0","0","0","0","0","0","","0","","0","2","","","0","","","0","","","","","19450910","0","MIL03","CIA","w","regular","y"
