"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"BLS192705152","johnp103","BLS","1","9","value","27","2","0","0","0","0","","","","","","19270515","2","BAL13","CUE","w","regular","y"
"BLS192710300","johnp103","BLS","1","7","value","27","0","0","1","0","0","","","","","","19271030","0","BAL13","ASB","w","exhibition","y"
