"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"JAX193805080","barnh102","JAX","1","2","value","27","","","","0","0","","","1","","1","19380508","0","JKV01","BIR","w","exibition","y"
"JAX193805090","barnh102","JAX","1","2","value","27","","","","","","","","","","","19380509","0","JKV01","BIR","w","exhibition",""
"CAG193806052","barnh102","JAX","1","2","value","24","","","","","","","","","","","19380605","2","CHI09","CAG","l","regular",""
"IN7193806191","barnh102","JAX","1","2","value","24","","","","","","","","","","","19380619","1","IND10","IN7","l","regular",""
"JAX193806230","barnh102","JAX","1","2","value","27","","","","","","","","","","1","19380623","0","JKV01","MEM","l","regular",""
"BIR193806261","barnh102","JAX","1","2","value","24","","","","","","","","","","","19380626","1","BIR01","BIR","l","regular",""
"BIR193806262","barnh102","JAX","1","2","value","18","","","1","","","","","","","","19380626","2","BIR01","BIR","l","regular",""
"JAX193807130","barnh102","JAX","1","2","value","27","","","","","","","","","","1","19380713","0","JKV01","IN7","l","regular",""
"JAX193807151","barnh102","JAX","1","2","value","27","","","","","","","","","","1","19380715","1","JKV01","IN7","l","",""
"CV9194006030","barnh102","CV9","1","2","value","","2","0","0","0","0","0","","","","","19400603","0","WAR02","KCM","w","regular","y"
"CV9194006091","barnh102","CV9","1","2","value","27","7","1","0","0","0","0","","","","1","19400609","1","CLE06","IN8","w","regular","y"
"CV9194006092","barnh102","CV9","1","2","value","21","6","0","0","1","0","0","","","","1","19400609","2","CLE06","IN8","w","regular","y"
"BIR194006231","barnh102","CV9","1","2","value","","0","0","0","0","0","0","","","","","19400623","1","BIR01","BIR","w","regular","y"
"BIR194006250","barnh102","CV9","1","2","value","24","","","0","","0","","","","","1","19400625","0","ANN01","BIR","l","regular",""
"BIR194006270","barnh102","CV9","1","2","value","27","","","0","","0","","","","","1","19400627","0","BIR01","BIR","w","regular",""
"MEM194007041","barnh102","CV9","1","2","value","","0","0","0","0","0","0","","","","","19400704","1","MEM02","MEM","l","regular","y"
"MEM194007042","barnh102","CV9","1","2","value","21","4","0","0","0","0","0","","","","1","19400704","2","MEM02","MEM","w","regular","y"
"SNO194007071","barnh102","CV9","1","2","value","33","7","2","0","0","0","0","","","","1","19400707","1","NOL01","SNO","w","regular","y"
"SNO194007072","barnh102","CV9","1","2","value","21","6","0","0","0","0","0","","","","1","19400707","2","NOL01","SNO","w","regular","y"
"SNO194007090","barnh102","CV9","1","2","value","24","2","1","0","0","0","2","","","","1","19400709","0","NOL01","SNO","l","regular","y"
"KCM194007141","barnh102","CV9","1","2","value","24","6","2","1","0","0","0","","","","1","19400714","1","KAN05","KCM","l","regular","y"
"KCM194007142","barnh102","CV9","1","2","value","18","5","0","1","0","0","0","","","","1","19400714","2","KAN05","KCM","l","regular","y"
"SNO194007170","barnh102","CV9","1","2","value","33","","","0","","0","","","","","1","19400717","0","SPA01","SNO","l","regular",""
"CAG194008042","barnh102","CV9","1","2","value","21","","","0","","0","","","","","1","19400804","2","CHI09","CAG","l","regular",""
"SNO194008251","barnh102","CV9","1","2","value","27","","","0","","0","","","","","1","19400825","1","LRK02","SNO","w","regular",""
"SNO194008252","barnh102","CV9","1","2","value","18","","","0","","0","","","","","1","19400825","2","LRK02","SNO","l","regular",""
"CV9194009011","barnh102","CV9","1","2","value","27","","","0","","0","","","","","1","19400901","1","ATL04","SNO","l","regular",""
"CV9194009012","barnh102","CV9","1","2","value","21","","","0","","0","","","","","1","19400901","2","ATL04","SNO","w","regular",""
"SNO194105111","barnh102","JAX","1","2","value","","10","2","0","0","0","0","","","","","19410511","1","NOL01","SNO","w","regular","y"
"SNO194105112","barnh102","JAX","1","2","value","21","3","0","0","0","0","0","","","","1","19410511","2","NOL01","SNO","w","regular","y"
"SNO194105130","barnh102","JAX","1","2","value","27","7","0","0","0","0","0","","","","1","19410513","0","NOL01","SNO","w","regular","y"
"JAX194105140","barnh102","JAX","1","2","value","27","","","0","","0","","","","","1","19410514","0","LKC01","SNO","l","regular",""
