"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"MEM194804111","longe102","CVB","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19480411","1","MEM02","MEM","w","exhibition",""
"CVB194804290","longe102","CVB","2","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19480429","0","MEM02","CAG","l","exhibition",""
"CVB194805100","longe102","CVB","2","value","11","0","16","4","0","0","1","3","3","2","0","1","0","0","0","0","0","0","1","0","","","","","1","","19480510","0","SPR04","BIR","l","regular","y"
"KCM194805210","longe102","CVB","2","value","1","0","4","3","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","","1","","","","","19480521","0","KAN05","KCM","l","regular","y"
"MEM194805231","longe102","CVB","2","value","12","","","","","","","","","","","","","","","","","","","","","","","","","","19480523","1","MEM02","MEM","l","regular",""
"MEM194805231","longe102","CVB","2","upper","11","","","","","","","","","","","","","","","","","","","","","1","","","","","19480523","1","MEM02","MEM","l","regular",""
"CVB194806080","longe102","CVB","1","value","27","","","8","","","","5","","","","","","","","","","","","","1","","","1","","1","19480608","0","DAY03","MEM","w","regular",""
"CVB194807090","longe102","CVB","1","value","21","","","","","","","4","","","","","","","","","","","","","","","","1","","","19480709","0","DAY03","HOM","l","exhibition",""
"CVB194807150","longe102","CVB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19480715","0","LRK02","MEM","l","regular",""
"CVB194807190","longe102","CVB","2","value","3","","","","","","","0","0","","","","","","","","","","","","","","1","","1","","19480719","0","DAY03","BIR","w","regular",""
"CVB194807251","longe102","CVB","1","value","27","","","9","","","2","7","","","","","","","","","","","","","","1","","1","","1","19480725","1","CLE06","HOM","l","exhibition",""
"MEM194808040","longe102","CVB","1","value","27","","","7","","","","2","","","","","","","","","","","","","1","","","1","","1","19480804","0","GRE01","MEM","w","regular",""
"BIR194808090","longe102","CVB","1","value","27","2","","10","1","","","6","","","","","","","","","","","","","","1","","1","","1","19480809","0","MEM02","BIR","l","regular",""
"CVB194808200","longe102","CVB","3","value","15","","","","","","","6","","","","","","","","","","","","","","1","","","1","","19480820","0","DAY03","HOM","l","exhibition",""
"CVB194808200","longe102","CVB","3","upper","21","","","","","","","12","","","","","","","","","","","","","","","","","","","19480820","0","DAY03","HOM","l","exhibition",""
"IN9194808270","longe102","CVB","1","value","27","","","5","","","","2","","","","","","","","","","","","","1","","","1","","1","19480827","0","IND10","IN9","w","regular",""
"CVB194808310","longe102","CVB","2","value","21","","21","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","1","","19480831","0","SPR04","KCM","l","regular",""
"CVB194808310","longe102","CVB","2","upper","24","","","0","","","","0","","","","","","","","","","","","","","","","","","","19480831","0","SPR04","KCM","l","regular",""
"CVB194809051","longe102","CVB","1","value","27","","","5","3","","","0","0","2","","8","","","","","","","","","1","","","1","","1","19480905","1","CLE06","CAG","w","regular",""
"CVB194809090","longe102","CVB","1","value","27","","","2","","","","0","0","","","","","","","","","","","","1","","","1","","1","19480909","0","DAY03","CAG","w","regular",""
"BIR194903270","longe102","LCB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19490327","0","TUS01","BIR","w","exhibition",""
"BIR194904030","longe102","LCB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19490403","0","MOB01","BIR","l","exhibition",""
"LCB194905020","longe102","LCB","1","value","27","","","6","1","","0","1","","","","","","","","","","","","","","1","","1","","1","19490502","0","COL05","PH5","l","regular",""
"LCB194905050","longe102","LCB","2","value","2","","","","","","","2","","","","","","","","","","","","","","","","","","","19490505","0","CHA01","PH5","l","regular",""
"LCB194905050","longe102","LCB","2","lower","1","","","","","","","0","","","","","","","","","","","","","","","","","","","19490505","0","CHA01","PH5","l","regular",""
"LCB194905050","longe102","LCB","2","upper","3","","","","","","","4","","","","","","","","","","","","","","","","","","","19490505","0","CHA01","PH5","l","regular",""
"BIR194905250","longe102","LCB","1","value","24","0","37","9","0","1","0","6","5","3","0","7","1","0","0","2","0","1","1","0","","1","","1","","1","19490525","0","BIR01","BIR","l","regular","y"
"LCB194905300","longe102","LCB","1","value","27","","","8","","","","4","","","","","","","","","","","","","","1","","1","","1","19490530","0","COL05","CAG","l","regular",""
"LCB194906121","longe102","LCB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19490612","1","BUF06","KCM","l","regular",""
"LCB194906191","longe102","LCB","1","value","27","","","8","","","","4","","","","","","","","","","","","","","1","","1","","1","19490619","1","CLE06","HOE","l","regular",""
"BLG194906261","longe102","LCB","1","value","13","","","9","1","","1","7","","3","","4","","","","","","","","","","1","","1","","","19490626","1","BAL14","BLG","l","regular",""
"LCB194907042","longe102","LCB","1","value","27","","","14","","","","6","","","","","","","","","","","","","1","","","1","","1","19490704","2","LOU05","IN9","w","regular",""
"LCB194907080","longe102","LCB","3","value","2","","","","","","","0","","","","","","","","","","","","","","","","","1","","19490708","0","NCO01","CAG","l","regular",""
"LCB194907102","longe102","LCB","1","value","13","","24","9","","","2","7","","2","","3","0","","","0","","","","","","1","","1","","","19490710","2","BCK01","KCM","l","regular","y"
"HOE194907242","longe102","LCB","1","value","21","","","2","","","0","0","0","","","","","","","","","","","","1","","","1","","1","19490724","2","HOU04","HOE","w","regular",""
"LCB194907280","longe102","LCB","2","value","15","","","","1","","","1","","","","","","","","1","","","","","","1","","","1","","19490728","0","COL05","IN9","l","regular",""
"LCB194907280","longe102","LCB","2","lower","15","","","2","1","","","1","","","","","","","","1","","","","","","1","","","1","","19490728","0","COL05","IN9","l","regular",""
"LCB194907312","longe102","LCB","1","value","12","","","","","","","","","","","","","","","","","","","","","1","","1","","","19490731","2","CLE06","IN9","l","regular",""
"LCB194908210","longe102","LCB","1","value","27","","","8","","","0","0","0","","","","","","","","","","","","1","","","1","","1","19490821","0","COL05","CAG","w","regular",""
"CAG194908310","longe102","LCB","1","value","32","","","16","","","3","11","","","","","1","","","","","","","","","1","","1","","1","19490831","0","WIN02","CAG","l","regular",""
"CAG194908310","longe102","LCB","1","lower","32","","","16","","","3","11","","","","1","1","","","","","","1","","","","","","","","19490831","0","WIN02","CAG","l","regular",""
