"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"LCB194905090","hills101","CAG","1","8","value","27","0","0","0","0","0","","","","","1","19490509","0","ATL04","LCB","w","regular","y"
"BIR194905110","hills101","CAG","1","8","value","24","0","0","0","0","0","","","","","1","19490511","0","BIR01","BIR","l","regular","y"
"CAG194905260","hills101","CAG","1","4","value","27","2","2","0","1","0","","","","","1","19490526","0","MTV01","IN9","l","regular","y"
"LCB194906051","hills101","CAG","","9","value","","","","","","","","","","","","19490605","1","BUF06","LCB","w","regular",""
"BLG194906100","hills101","CAG","1","9","value","21","1","0","0","","","","","","","1","19490610","0","BAL14","BLG","l","regular","Y"
"BLG194906110","hills101","CAG","1","9","value","27","3","0","0","0","0","","","","","1","19490611","0","WIL04","BLG","w","regular","y"
"BLG194906121","hills101","CAG","1","9","value","25","0","1","1","0","0","","","","","1","19490612","1","BAL14","BLG","l","regular","y"
"BLG194906122","hills101","CAG","1","9","value","18","1","0","1","0","0","","","","","1","19490612","2","BAL14","BLG","l","regular","y"
"CAG194906220","hills101","CAG","1","9","value","27","1","0","0","0","0","","","","","1","19490622","0","DCT02","PH5","l","regular","y"
"ASW195808240","hills101","ASW","1","5","value","3","0","0","0","0","0","","","","","0","19580824","0","CHI10","ASE","l","allstar","y"
