"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"NY6194807040","teasr101","NY6","1","7","value","27","0","0","0","0","0","0","","","","1","19480704","0","NYC14","NY5","l","regular","y"
"NY6194807052","teasr101","NY6","1","9","value","27","2","0","0","0","0","","","","","1","19480705","2","NYC16","NW2","w","regular","y"
