"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"JAX193805080","henrp101","JAX","1","value","27","","34","5","0","0","0","2","","1","","3","1","","","0","","1","","","1","","","1","","1","19380508","0","JKV01","BIR","w","exibition","y"
"JAX193805230","henrp101","JAX","1","value","13","","24","9","","","0","7","","2","","","0","","","","","","","","","1","","1","","","19380523","0","JKV01","ATN","l","regular","y"
"CAG193806051","henrp101","JAX","1","value","27","","","7","","","","2","","","","8","","","","","","","","","1","","","1","","1","19380605","1","CHI09","CAG","w","regular",""
"IN7193806191","henrp101","JAX","1","value","24","","","9","","","","6","","","","","","","","","","","","","","1","","1","","1","19380619","1","IND10","IN7","l","regular",""
"BIR193806261","henrp101","JAX","1","value","","","","","","","","","","","","","","","","","","","","","","","","","","","19380626","1","BIR01","BIR","l","regular",""
"CV9193903270","henrp101","CV9","1","value","15","0","21","6","1","0","0","2","2","3","0","2","0","0","0","0","1","0","1","0","","","","1","","","19390327","0","JKV01","CAG","w","exhibition","y"
"CV9193904230","henrp101","CV9","1","value","26","0","38","9","0","0","0","4","4","6","0","2","1","0","0","2","0","1","1","1","","","","1","","","19390423","0","JKV01","SSA","l","exhibition","y"
"CV9193905141","henrp101","CV9","1","value","27","0","37","5","0","1","0","3","2","4","0","6","0","0","0","0","0","3","1","0","1","","","1","","1","19390514","1","CLE07","CAG","w","regular","y"
"CV9193905211","henrp101","CV9","1","value","27","0","40","8","2","0","0","1","1","4","0","5","0","0","0","0","0","1","0","0","1","","","1","","1","19390521","1","CLE06","ATN","w","regular","y"
"SSA193905280","henrp101","CV9","2","value","14","0","27","7","2","0","0","4","3","6","0","2","0","0","0","1","0","0","0","0","","","","","1","","19390528","0","STL13","SSA","l","regular","y"
"KCM193905301","henrp101","CV9","1","value","27","0","40","8","2","0","1","5","5","3","0","7","0","0","0","0","2","2","0","0","1","","","1","","1","19390530","1","KAN05","KCM","w","regular","y"
"CAG193906041","henrp101","CV9","1","value","26","","","6","","","","3","","","","","","","","","","","","","","1","","1","","1","19390604","1","CHI09","CAG","l","regular",""
"CAG193906050","henrp101","CV9","3","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19390605","0","CHI09","CAG","l","regular",""
"ATN193906150","henrp101","CV9","1","value","19","0","30","7","2","0","0","4","4","5","0","0","0","0","0","1","0","2","1","0","","","","1","","","19390615","0","ATL04","ATN","w","regular","y"
"CV9193906181","henrp101","CV9","2","value","27","","42","10","","","1","6","","4","","3","0","0","0","1","","","","","","","","","1","","19390618","1","CLE07","KCM","l","regular","y"
"CV9193906252","henrp101","CV9","1","value","27","","31","3","0","0","0","0","0","3","","6","0","0","0","0","0","","","","1","","","1","","1","19390625","2","CLE06","SSA","w","regular","y"
"MEM193907041","henrp101","CV9","1","value","14","","","7","","","","8","","4","","","","","","","","","","","","1","","1","","","19390704","1","MEM02","MEM","l","regular",""
"MEM193907060","henrp101","CV9","2","value","","","","","","","","","","","","","","","","","","","","","1","","","","1","","19390706","0","MEM02","MEM","w","regular",""
"CV9193907091","henrp101","CV9","1","value","24","1","31","4","2","0","0","2","2","4","0","1","0","0","0","1","0","0","1","0","","","","1","","","19390709","1","CLE06","MEM","w","regular","y"
"CV9193907120","henrp101","CV9","1","value","18","","34","13","2","2","0","9","","3","","7","0","0","0","0","","","","","","1","","1","","","19390712","0","MIL03","MEM","l","regular","y"
"CV9193907162","henrp101","CV9","1","value","9","","16","1","","0","0","1","","6","","2","0","1","0","0","","","","","","","","1","","","19390716","2","KAN05","TLC","l","regular","y"
"MEM193907231","henrp101","CV9","1","value","24","0","38","8","1","0","0","6","4","5","0","1","0","0","0","1","0","1","0","0","","1","","1","","1","19390723","1","MEM02","MEM","l","regular","y"
"CAG193908120","henrp101","CV9","2","value","6","","","","","","","0","","","","","","","","","","","","","","","","","1","","19390812","0","CHI09","CAG","l","regular",""
"CAG193908131","henrp101","CV9","1","value","27","0","35","5","0","1","0","2","1","4","1","2","0","0","0","0","1","0","1","0","1","","","1","","1","19390813","1","CHI09","CAG","w","regular","y"
"CV9193908201","henrp101","CV9","1","value","10","","15","5","0","0","0","4","","1","","","0","0","0","1","","","","","","1","","1","","","19390820","1","CLE06","TLC","l","regular","y"
"CV9193908210","henrp101","CV9","1","value","27","","40","7","3","0","0","3","","6","","11","0","0","0","1","","","","","1","","","1","","1","19390821","0","AKR01","TLC","w","regular","y"
"SSA193909280","henrp101","CV9","1","value","9","","","","","6","","","","","","","","","","","","","","","","1","","1","","","19390928","0","MAC01","SSA","l","exhibition",""
"CV9194003240","henrp101","CV9","2","value","9","","13","1","0","0","0","2","","3","0","3","0","0","0","0","0","","","","","","","","","","19400324","0","JKV01","SNO","w","exhibition","y"
"CV9194003310","henrp101","CV9","1","value","9","","17","3","0","0","0","2","","5","0","3","0","0","0","0","0","","","","","","","1","","","19400331","0","JKV01","SNO","w","exhibition","y"
"HOM194004050","henrp101","CV9","3","value","6","","12","3","0","0","0","3","","3","0","1","0","0","0","0","0","","","","","1","","","1","","19400405","0","ORL01","HOM","l","exhibition","y"
"CV9194004150","henrp101","CV9","3","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19400415","0","JKV01","HOM","l","exhibition",""
"CV9194005121","henrp101","CV9","1","value","27","","40","10","2","0","0","3","1","0","","4","0","0","0","1","","","","","1","","","1","","1","19400512","1","ATL04","CAG","w","regular","y"
"CAG194005191","henrp101","CV9","1","value","27","","39","8","2","0","1","6","","5","","6","0","0","0","0","","","","","1","","","1","","1","19400519","1","CHI09","CAG","w","regular","y"
"CV9194005261","henrp101","CV9","1","value","27","","40","8","2","1","0","7","","3","","4","0","0","0","1","","","","","","1","","1","","1","19400526","1","CLE06","SNO","l","regular","y"
"CV9194006021","henrp101","CV9","1","value","27","","42","11","1","1","0","8","","1","","8","0","0","0","1","","","","","","1","","1","","1","19400602","1","CLE06","KCM","l","regular","y"
"CV9194006091","henrp101","CV9","1","value","27","","33","4","0","0","0","0","0","1","","7","0","0","0","2","","","","","1","","","1","","1","19400609","1","CLE06","IN8","w","regular","y"
"BIR194006231","henrp101","CV9","1","value","13","","21","6","0","0","0","3","","1","0","","0","0","0","","0","","","","","","","1","","","19400623","1","BIR01","BIR","w","regular","y"
"BIR194006250","henrp101","CV9","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19400625","0","ANN01","BIR","l","regular",""
"CV9194006301","henrp101","CV9","1","value","18","","28","9","0","0","1","6","","2","0","","0","0","0","","0","","","","","1","","1","","","19400630","1","ATL04","BIR","l","regular","y"
"MEM194007042","henrp101","CV9","1","value","21","","29","7","0","0","0","2","","2","","4","0","0","0","0","","","","","1","","","1","","1","19400704","2","MEM02","MEM","w","regular","y"
"SNO194007071","henrp101","CV9","2","value","6","","10","3","0","0","0","1","","2","0","1","0","0","0","0","0","","","","1","","","","1","","19400707","1","NOL01","SNO","w","regular","y"
"SNO194007072","henrp101","CV9","1","value","21","","30","8","1","0","0","3","3","1","","6","0","0","0","1","","","","","1","","","1","","1","19400707","2","NOL01","SNO","w","regular","y"
"KCM194007141","henrp101","CV9","2","value","1","","3","1","0","0","0","2","","1","0","0","1","0","0","0","0","","","","","1","","","","","19400714","1","KAN05","KCM","l","regular","y"
"KCM194007142","henrp101","CV9","1","value","18","","33","12","0","1","0","6","","2","","5","0","0","0","1","","","","","","1","","1","","1","19400714","2","KAN05","KCM","l","regular","y"
"SNO194007170","henrp101","CV9","2","value","1","","","1","","","1","1","","","","","","","","","","","","","","","","","1","","19400717","0","SPA01","SNO","l","regular",""
"SNO194007170","henrp101","CV9","2","upper","0","","","6","","","1","5","","","","","","","","","","","","","","1","","","","","19400717","0","SPA01","SNO","l","regular",""
"CAG194008041","henrp101","CV9","1","value","24","","32","6","0","0","0","5","3","5","","2","0","0","0","3","","","","","","1","","1","","1","19400804","1","CHI09","CAG","l","regular","y"
"SNO194008251","henrp101","CV9","1","value","27","","","","","","","2","","","","","","","","","","","","","1","","","1","","1","19400825","1","LRK02","SNO","w","regular",""
"CV9194009011","henrp101","CV9","1","value","27","","","8","","","1","3","","","","","","","","","","","","","","1","","1","","1","19400901","1","ATL04","SNO","l","regular",""
"CV9194009022","henrp101","CV9","2","value","3","","","1","","","","0","","","","2","","","","","","","","","","","","","1","","19400902","2","ATL04","SNO","w","regular",""
