"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"PH5194405060","rickb102","PH5","1","value","18","2","26","5","1","0","0","3","","1","0","","0","0","0","1","0","","","","","","","1","","","19440506","0","PHI17","BLG","w","regular","y"
"BLG194405072","rickb102","PH5","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19440507","2","BAL14","BLG","l","regular",""
"BLG194405212","rickb102","PH5","1","value","4","","10","6","0","0","0","4","","","0","","0","0","0","1","0","","","","","1","","1","","","19440521","2","NYC14","BLG","l","regular","y"
"HOM194405250","rickb102","PH5","2","value","14","","15","1","0","0","0","0","","0","0","1","0","0","0","0","0","","","","","","","","1","","19440525","0","WAS09","HOM","l","regular","y"
"NY6194405282","rickb102","PH5","1","value","9","","14","5","0","0","1","4","","","0","2","0","0","0","","0","","","","","1","","1","","","19440528","2","NYC16","NY6","l","regular","y"
"PH5194406010","rickb102","PH5","1","value","27","","32","5","0","0","0","1","","","","11","0","0","0","0","","","","","1","","","1","","1","19440601","0","PHI17","NW2","w","regular","y"
"PH5194406041","rickb102","PH5","1","value","18","","26","9","1","0","1","6","","","0","","0","0","0","","0","","","","","1","","1","","","19440604","1","NYC16","BIR","l","exhibition","y"
"NY5194406111","rickb102","PH5","1","value","21","","27","4","0","0","0","3","","1","0","5","0","0","0","2","0","","","","","","","1","","","19440611","1","NYC16","NY5","l","regular","y"
"PH5194406150","rickb102","PH5","2","value","6","","9","1","0","0","0","0","","2","0","3","0","0","0","","0","","","","","","1","","1","","19440615","0","PHI17","NY5","w","regular","y"
"NW2194406251","rickb102","PH5","1","value","24","","38","13","3","0","1","6","","1","","1","0","0","0","1","","","","","","1","","1","","1","19440625","1","NWK04","NW2","l","regular","y"
"PH5194407010","rickb102","PH5","1","value","27","","38","5","0","0","0","4","1","4","","11","0","0","0","0","","","","","1","","","1","","1","19440701","0","PHI17","NY6","w","regular","y"
"PH5194407042","rickb102","PH5","2","value","6","","","","","","","1","","1","","","","","","1","","","","","1","","","","1","","19440704","2","PHI17","NY5","w","regular",""
"PH5194407080","rickb102","PH5","1","value","27","","36","6","3","0","0","2","","5","","","0","0","0","0","","","","","1","","","1","","1","19440708","0","PHI17","NW2","w","regular","y"
"BLG194407161","rickb102","PH5","1","value","24","","31","5","0","0","0","2","2","5","0","4","0","0","0","1","0","","","","1","","","1","","","19440716","1","BAL14","BLG","w","regular","y"
"PH5194407220","rickb102","PH5","1","value","27","","38","8","1","1","1","5","","3","","","0","0","0","0","1","","","","1","","","1","","1","19440722","0","PHI17","NW2","w","regular","y"
"HOM194407270","rickb102","PH5","2","value","25","","31","7","0","0","0","1","","2","0","7","0","0","0","0","0","","","","1","","","","1","","19440727","0","WAS09","HOM","w","regular","y"
"PH5194407301","rickb102","PH5","2","value","25","","35","8","0","0","0","0","","2","0","","2","0","0","","0","","","","1","","","","1","","19440730","1","NYC16","BLG","w","regular","y"
"HOM194408062","rickb102","PH5","1","value","18","","29","5","0","1","0","4","","4","","","0","0","0","0","","","","","","1","","1","","1","19440806","2","WAS09","HOM","l","regular","y"
"NW2194408131","rickb102","PH5","1","value","24","","34","10","1","0","0","6","","0","","4","0","0","0","0","","","","","","1","","1","","1","19440813","1","NWK04","NW2","l","exhibition","y"
"PH5194408190","rickb102","PH5","1","value","27","","39","8","0","1","0","3","","5","","10","0","0","0","0","","","","","1","","","1","","1","19440819","0","PHI17","HOM","w","regular","y"
"BLG194408271","rickb102","PH5","1","value","27","","33","10","2","0","0","1","1","0","","6","0","0","0","0","","","","","1","","","1","","1","19440827","1","BAL14","BLG","w","regular","y"
"PH5194409020","rickb102","PH5","1","value","27","","45","13","5","1","0","8","","5","","1","0","0","0","0","","","","","","1","","1","","1","19440902","0","PHI17","HOM","l","exhibition","y"
"PH5194409292","rickb102","PH5","1","value","21","","34","8","0","0","1","5","","3","0","","1","0","0","1","0","","","","","1","","1","","","19440929","2","PHI11","HOM","l","exhibition","y"
"PH5194505050","rickb102","PH5","1","value","27","","32","6","0","1","0","0","0","3","","","0","0","0","0","","","","","1","","","1","","1","19450505","0","PHI17","BLG","w","regular","y"
"BLG194505062","rickb102","PH5","3","value","6","","6","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","1","","1","","19450506","2","BAL14","BLG","w","regular","y"
"PH5194505120","rickb102","PH5","1","value","21","","30","6","0","0","0","6","4","1","0","8","0","1","0","0","0","","","","","1","","1","","","19450512","0","PHI17","NY6","l","regular","y"
"PH5194505210","rickb102","PH5","2","value","20","","27","7","0","0","0","3","","1","0","5","0","0","0","1","0","","","","","","","","1","","19450521","0","PHI11","HOM","l","regular","y"
"PH5194505301","rickb102","PH5","1","value","27","","","2","2","","","5","","","","","","","","","","","","","","1","","1","","1","19450530","1","PHI17","NW2","l","regular",""
"PH5194506120","rickb102","PH5","3","value","11","","16","6","0","0","0","2","","0","0","2","0","0","0","","0","","","","","","","","1","","19450612","0","WIL04","BLG","l","regular","y"
"PH5194506180","rickb102","PH5","1","value","27","","35","7","2","0","0","1","1","1","","3","0","0","0","0","","","","","1","","","1","","1","19450618","0","PHI11","KCM","w","exhibition","y"
"BLG194506241","rickb102","PH5","1","value","12","","19","7","0","0","0","3","","0","0","","0","0","0","","0","","","","","","","1","","","19450624","1","BAL14","BLG","w","regular","y"
"NY5194507012","rickb102","PH5","1","value","24","","","13","","","1","8","8","","","","","","","","","","","","","1","","1","","1","19450701","2","NYC16","NY5","l","regular",""
"PH5194507112","rickb102","PH5","1","value","27","","32","4","0","0","0","1","","2","","5","0","0","0","0","","","","","1","","","1","","1","19450711","2","PHI11","CIA","w","exhibition","y"
"PH5194507252","rickb102","PH5","1","value","27","","34","5","0","0","0","1","0","3","","","0","0","0","0","","","","","1","","","1","","1","19450725","2","PHI11","HOM","w","regular","y"
"ASW194507290","rickb102","ASE","2","value","3","0","10","6","0","1","0","4","4","1","0","0","0","0","0","0","0","0","0","0","","","","","","","19450729","0","CHI10","ASW","l","allstar","y"
"BLG194508030","rickb102","PH5","1","value","13","","27","10","0","0","0","9","","4","0","","0","0","0","","0","","","","","1","","1","","","19450803","0","BAL14","BLG","l","regular","y"
"NY5194508050","rickb102","PH5","2","value","3","","5","1","0","0","0","0","","1","0","2","0","0","0","0","0","","","","","","","","1","","19450805","0","NYC16","NY5","l","regular","y"
"PH5194508081","rickb102","PH5","2","value","","","","","","","","","","","","","","","","","","","","","1","","","","1","","19450808","1","PIT06","BIR","w","exhibition",""
"PH5194508180","rickb102","PH5","2","value","3","","5","0","0","0","0","0","0","1","0","","0","0","0","","0","","","","","","","","1","","19450818","0","PHI17","BLG","l","regular","y"
