"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"MEM194205102","mckef102","CCB","1","1","value","","","","0","","0","0","","","","","19420510","2","MEM02","MEM","l","regular",""
"CCB194206030","mckef102","JAX","1","1","value","2","0","0","0","0","0","","","","","1","19420603","0","ERI01","CCB","l","regular","y"
