"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"NW2193806262","johnj110","BFA","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19380626","2","NWK04","NW2","l","regular",""
"BLG193905142","johnj110","BLG","1","value","2","","6","4","1","1","1","3","","0","0","0","0","0","","0","0","","","","","1","","1","","","19390514","2","BAL10","HOM","l","regular","y"
"NW2193905212","johnj110","BLG","1","value","6","0","9","4","0","0","0","2","2","0","0","0","0","0","0","0","0","0","1","0","","","","1","","","19390521","2","NWK04","NW2","l","regular","y"
"NY5193905302","johnj110","BLG","2","value","5","","10","4","","0","0","4","","3","","2","0","0","0","1","","","","","","","","","","","19390530","2","NYC23","NY5","l","regular","y"
"HOM193906102","johnj110","BLG","2","value","12","","18","2","","","0","2","","4","","2","0","0","0","0","","","","","","","","","1","","19390610","2","PIT06","HOM","l","regular","y"
"BLG193906190","johnj110","BLG","2","value","1","","4","3","","0","0","1","","0","","0","0","0","0","0","","0","","","","","","","1","","19390619","0","RIC05","NW2","w","regular","y"
"HOM194404231","johnj110","HOM","1","value","6","","13","4","0","0","0","2","","1","0","2","0","0","0","","0","","","","","","","1","","","19440423","1","WAS09","NW2","w","exhibition","y"
"HOM194404250","johnj110","HOM","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19440425","0","GRE03","NW2","w","exhibition",""
"HOM194405030","johnj110","HOM","2","value","12","","","","","","","5","","","","","","","","","","","","","","","","","1","","19440503","0","DAY03","CVB","l","exhibition",""
"HOM194405030","johnj110","HOM","2","upper","15","","","","","","","5","","","","","","","","","","","","","","","","","","","19440503","0","DAY03","CVB","l","exhibition",""
"BLG194405130","johnj110","HOM","2","value","6","","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","","1","","19440513","0","HRB01","BLG","w","regular","y"
"BLG194405142","johnj110","HOM","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19440514","2","BAL14","BLG","w","regular",""
"BLG194405240","johnj110","HOM","1","value","27","","35","6","0","1","0","3","","8","","3","0","0","0","0","","","","","1","","","1","","1","19440524","0","BAL14","BLG","w","regular","y"
"HOM194405282","johnj110","HOM","2","value","9","","","2","","","","1","","","","","","","","","","","","","","","","","","","19440528","2","WAS09","BLG","w","regular",""
"HOM194405282","johnj110","HOM","2","upper","","","","6","","","","1","","","","","","","","","","","","","","","","","","","19440528","2","WAS09","BLG","w","regular",""
"HOM194405302","johnj110","HOM","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19440530","2","PIT06","BLG","l","regular",""
"HOM194406032","johnj110","HOM","1","value","","","","","","","","","","4","","1","","","","","","","","","","","","1","","","19440603","2","PIT06","NY6","w","regular",""
"HOM194406042","johnj110","HOM","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19440604","2","WAS09","NY6","l","regular",""
"HOM194406080","johnj110","HOM","2","value","12","3","18","3","0","0","0","3","","1","0","1","0","0","0","0","0","","","","","1","","","","","19440608","0","WAS09","BIR","l","exhibition","y"
"HOM194406120","johnj110","HOM","2","value","15","","20","3","0","1","0","1","","1","0","11","1","0","1","","0","","","","","","1","","1","","19440612","0","HRB01","BIR","w","exhibition","y"
"HOM194406190","johnj110","HOM","1","value","4","","9","0","0","0","0","4","","5","0","0","0","0","0","","0","","","","","1","","1","","","19440619","0","HRB01","NW2","l","regular","y"
"HOM194406252","johnj110","HOM","3","value","3","","","","","","","0","","","","","","","","","","","","","","","","","1","","19440625","2","WAS09","KCM","l","exhibition",""
"HOM194406270","johnj110","HOM","1","value","27","","42","8","2","0","1","6","","8","","8","0","0","0","1","","","","","1","","","1","","1","19440627","0","HRB01","BLG","w","regular","y"
"NW2194407021","johnj110","HOM","2","value","4","","8","2","0","0","1","4","","2","0","","0","0","0","","0","","","","","1","","","1","","19440702","1","NWK04","NW2","l","regular","y"
"HOM194407200","johnj110","HOM","1","value","33","","","1","1","","","2","","","","","","","","","","","","","","","","1","","1","19440720","0","NOR02","NY6","t","regular",""
"HOM194407232","johnj110","HOM","2","value","3","","5","2","0","0","0","1","","0","0","","0","0","0","","0","","","","","1","","","1","","19440723","2","WAS09","NW2","l","regular","y"
"HOM194407301","johnj110","HOM","1","value","24","","29","3","0","0","0","3","","2","0","2","0","0","0","1","0","","","","","","","1","","","19440730","1","WAS09","NY5","w","regular","y"
"HOM194408071","johnj110","HOM","1","value","27","0","37","7","0","1","0","2","2","4","0","1","1","0","0","1","0","0","0","0","","1","","1","","1","19440807","1","PHI11","NY6","l","regular","y"
"HOM194408090","johnj110","HOM","1","value","27","","","5","","","","1","","","","","","","","","","","","","1","","","1","","1","19440809","0","COL05","BLG","w","regular",""
"PH5194408190","johnj110","HOM","1","value","24","","39","10","0","4","0","4","","5","","1","0","1","0","1","","","","","","1","","1","","1","19440819","0","PHI17","PH5","l","regular","y"
"HOM194408272","johnj110","HOM","1","value","6","","","4","","","","2","","","","","","","","","","","","","","","","1","","","19440827","2","PIT06","NW2","w","regular",""
"HOM194408290","johnj110","HOM","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19440829","0","NOR02","NW2","l","regular",""
"HOM194409030","johnj110","HOM","2","value","18","","27","5","0","0","0","4","","5","0","2","0","0","0","","0","","","","","","","","","","19440903","0","WAS09","PH5","l","regular","y"
"HOM194409290","johnj110","HOM","2","value","3","","4","0","","","0","0","","1","","","0","0","0","0","","","","","","","","","1","","19440929","0","PHI11","BIR","l","regular","y"
"HOM194409291","johnj110","HOM","2","value","3","","","","","","","0","0","","","","","","","","","","","","","","","","1","","19440929","1","PHI11","BIR","l","exhibition","y"
"NY5194505201","johnj110","NY5","2","value","21","","32","8","0","0","0","3","","5","0","1","0","0","0","","0","","","","","","","","1","","19450520","1","NYC16","BLG","l","regular","y"
"BLG194505301","johnj110","NY5","1","value","15","","28","10","0","0","0","8","","4","0","","0","0","0","1","0","","","","","1","","1","","","19450530","1","BAL14","BLG","l","regular","y"
"BLG194506101","johnj110","NY5","1","value","9","","18","6","0","0","0","6","","3","0","0","0","0","0","1","0","","","","","1","","1","","","19450610","1","BAL14","BLG","l","regular","y"
"NW2194507260","johnj110","NY5","1","value","27","","","5","","","","1","","","","","","","","","","","","","1","","","1","","1","19450726","0","IND10","NW2","w","regular",""
"PH5194508040","johnj110","NY5","1","value","27","","38","7","0","0","0","2","","5","","","0","0","0","0","1","","","","1","","","1","","1","19450804","0","PHI17","PH5","w","regular","y"
