"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"NW2194805312","dealj101","NW2","3","1","value","2","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480531","2","NWK04","PH5","L","regular","y"
"NW2194805312","dealj101","NW2","3","1","lower","2","0","0","","","","","","","","","","","","","","","","","","19480531","2","NWK04","PH5","L","regular","y"
"NW2194805312","dealj101","NW2","3","1","upper","2","0","0","","","","","","","","","","","","","","","","","","19480531","2","NWK04","PH5","L","regular","y"
"BLG194806150","dealj101","NW2","1","2","value","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480615","0","WIL04","BLG","L","regular","y"
"BLG194806150","dealj101","NW2","1","2","lower","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480615","0","WIL04","BLG","L","regular","y"
"BLG194806150","dealj101","NW2","1","2","upper","2","0","0","0","0","0","0","0","","0","0","","","0","","","","","","","19480615","0","WIL04","BLG","L","regular","y"
