"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"ASW193508110","grifb102","ASW","4","value","6","0","13","4","0","0","0","4","3","3","0","3","0","0","0","0","0","1","0","0","","","","","","","19350811","0","CHI10","ASE","w","allstar","y"
"NY6193509221","grifb102","NSH","2","value","2","","3","0","0","0","0","0","","1","0","0","0","0","0","0","0","","","","","","","","1","","19350922","1","NYC16","NY6","w","exhibition","y"
"NNS193610042","grifb102","NNS","1","value","18","","25","7","","","1","4","","0","","5","0","0","0","1","","","","","1","","","1","","","19361004","2","DEN03","MLS","w","exhibition","y"
"MLS193610070","grifb102","NNS","3","value","9","","13","3","","","0","0","0","1","","1","0","0","0","0","","","","","","","","","1","","19361007","0","DES01","MLS","w","exhibition","y"
"MEM193804100","grifb102","BLG","3","value","6","","","","","","","1","","","","","","","","","","","","","","","","","1","","19380410","0","MEM02","MEM","l","exhibition",""
"BLG193805012","grifb102","BLG","1","value","21","","28","7","1","0","0","1","1","2","","3","","","","","","","","","1","","","1","","1","19380501","2","NSH02","PH5","w","exhibition","y"
"BLG193805030","grifb102","BLG","3","value","2","","2","0","","","","0","0","0","","","0","","","0","","","","","","","1","","1","","19380503","0","NSH02","CAG","w","exhibition","y"
"PTC193805080","grifb102","BLG","1","value","27","","","4","","","0","0","0","","","6","","","","","0","","","","","1","","1","","1","19380508","0","LOU05","PTC","l","exibition",""
"BLG193805150","grifb102","BLG","1","value","27","","46","9","2","0","0","8","8","2","","1","","","","","","0","","","1","","","1","","1","19380515","0","BAL14","PH5","w","regular","y"
"HOM193806120","grifb102","BLG","1","value","14","","25","10","","","","5","","1","","","0","","","","","","","","","1","","1","","","19380612","0","IND10","HOM","l","regular","y"
"BLG193807031","grifb102","BLG","1","value","27","","45","17","","","","9","","","","","","","","","","","","","1","","","1","","1","19380703","1","BAL14","NW2","w","regular","y"
"BLG193807090","grifb102","BLG","1","value","27","","40","12","1","1","0","5","","4","","4","0","","","0","","","","","","1","","1","1","1","19380709","0","BAL14","HOM","l","regular","y"
"PTC193808180","grifb102","BLG","1","value","27","","","11","","","","3","","","","","","","","","","","","","1","","","1","","1","19380818","0","DAY03","PTC","w","regular",""
