"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"BLG194604290","rombb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19460429","0","ATL04","BIR","l","exhibition",""
"BLG194605052","rombb101","BLG","9","2","value","1","1","0","0","0","0","0","","0","","0","0","0","0","0","","","0","","","","","19460505","2","BAL14","HOM","w","regular","y"
"BLG194605210","rombb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19460521","0","HAG01","NY6","w","exhibition",""
"BLG194605302","rombb101","BLG","9","1","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460530","2","BAL14","HOM","l","regular","y"
"BLG194606091","rombb101","BLG","9","2","value","2","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19460609","1","BAL14","PH5","l","regular","y"
"PH5194607041","rombb101","BLG","9","2","value","3","3","0","0","0","0","0","","0","","0","","","","0","","","0","","","","","19460704","1","PHI17","PH5","l","regular","y"
"BLG194607101","rombb101","BLG","1","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460710","1","WAS09","PH5","w","regular","y"
"BLG194607102","rombb101","BLG","9","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460710","2","WAS09","KCM","w","exhibition","y"
"BLG194607260","rombb101","BLG","9","2","value","3","1","1","0","0","0","0","0","0","","0","2","","","0","","","0","","","","","19460726","0","BAL14","NY6","l","regular","y"
"BLG194608041","rombb101","BLG","9","2","value","1","1","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460804","1","BAL14","NY6","l","regular","y"
"BLG194608120","rombb101","BLG","9","1","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460812","0","WIL04","NY6","l","regular","y"
"BLG194608130","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460813","0","BAL14","IN9","w","exhibition","y"
"BLG194608252","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19460825","2","BAL14","NY5","l","regular","y"
"BLG194608300","rombb101","BLG","7","2","value","1","1","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460830","0","BAL14","NW2","t","regular","y"
"BLG194609012","rombb101","BLG","9","2","value","2","2","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19460901","2","BAL14","HOM","w","regular","y"
"HOM194609022","rombb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19460902","2","WAS09","HOM","t","regular",""
"BLG194609031","rombb101","BLG","9","3","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460903","1","PHI11","NY6","l","regular","y"
"BLG194609151","rombb101","BLG","9","3","value","1","1","1","1","1","0","0","0","0","","0","0","0","","0","","","0","","","","","19460915","1","BAL14","NW2","w","regular","y"
"BLG194704130","rombb101","BLG","9","1","value","2","2","0","1","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470413","0","NSH02","CAG","w","exhibition","y"
"BLG194704200","rombb101","BLG","8","1","value","3","2","1","2","0","0","0","","0","","0","1","","","0","","","0","","","","","19470420","0","NSH02","IN9","w","exhibition","y"
"BLG194705041","rombb101","BLG","9","1","value","2","2","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470504","1","BAL14","PH5","l","regular","y"
"BLG194705070","rombb101","BLG","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470507","0","RIC03","NW2","l","regular","y"
"BLG194705100","rombb101","BLG","9","1","value","4","3","1","0","0","0","0","1","0","","1","0","0","","0","","","0","","","","","19470510","0","WIL04","HOM","w","regular","y"
"BLG194705112","rombb101","BLG","9","3","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470511","2","BAL14","HOM","l","regular","y"
"BLG194705160","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470516","0","BAL14","NY5","w","regular","y"
"BLG194705180","rombb101","BLG","9","2","value","1","1","1","1","1","0","0","2","0","0","0","0","0","","0","","","0","","","","","19470518","0","BAL14","NY5","t","regular","y"
"BLG194705200","rombb101","BLG","9","1","value","4","3","1","1","0","0","0","0","1","0","0","0","0","","0","","","0","","","","","19470520","0","BAL14","HOM","w","regular","y"
"NW2194705220","rombb101","BLG","8","2","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470522","0","NWK04","NW2","l","regular","y"
"BLG194705230","rombb101","BLG","2","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470523","0","BAL14","NW2","l","regular","y"
"BLG194705261","rombb101","BLG","2","2","value","1","0","0","0","0","0","0","1","1","","0","0","0","","0","","","0","","","","","19470526","1","PHI11","NW2","l","regular","y"
"BLG194705301","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","0","0","","","","","19470530","1","BAL14","NY5","w","regular","y"
"BLG194706012","rombb101","BLG","9","1","value","1","1","0","0","0","0","0","","0","","0","0","0","","0","","","0","","","","","19470601","2","BAL14","NY6","l","regular","y"
"NY6194706040","rombb101","BLG","1","2","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470604","0","SUN01","NY6","w","regular","y"
"BLG194706060","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470606","0","BAL14","NW2","w","regular","y"
"HOM194706120","rombb101","BLG","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470612","0","WAS09","HOM","l","regular","y"
"NY6194706161","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","","","","","1","19470616","1","PHI11","NY6","l","regular","y"
"BLG194706170","rombb101","BLG","9","2","value","2","2","1","0","0","0","0","0","0","","0","0","0","","0","","0","0","","","","","19470617","0","BAL14","HOM","w","regular","y"
"BLG194706242","rombb101","BLG","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470624","2","BAL14","NY5","w","regular","y"
"BLG194706270","rombb101","BLG","9","3","value","1","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470627","0","BAL14","NY5","l","regular","y"
"BLG194706291","rombb101","BLG","9","2","value","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","0","0","","","","","19470629","1","BAL14","NY6","l","regular","y"
"BLG194706292","rombb101","BLG","9","1","value","3","3","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19470629","2","BAL14","NY6","l","regular","y"
"HOM194707041","rombb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19470704","1","PIT06","HOM","l","regular",""
"NW2194707090","rombb101","BLG","","","value","","","","","","","","","","","","","","","","","","","","","","","19470709","0","TRE01","NW2","l","regular",""
