"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"MEM194204230","shawa103","MEM","","","value","","1","1","","","","","","","","","","","","","","","","","","19420423","0","LRK02","KCM","W","exhibition",""
"MEM194204230","shawa103","MEM","","","lower","1","1","1","","","","","","","","","","","","","","","","","","19420423","0","LRK02","KCM","W","exhibition",""
"MEM194204230","shawa103","MEM","","","upper","1","3","-1","","","","","","","","","","","","","","","","","","19420423","0","LRK02","KCM","W","exhibition",""
"BIR194205102","shawa103","BIR","8","2","value","1","0","1","0","0","0","","0","","0","0","0","","0","","","0","","1","","19420510","2","BIR01","JAX","L","regular","y"
"BIR194205102","shawa103","BIR","8","2","lower","1","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19420510","2","BIR01","JAX","L","regular","y"
"BIR194205102","shawa103","BIR","8","2","upper","1","0","1","0","0","0","","0","","0","","","","0","","","0","","","","19420510","2","BIR01","JAX","L","regular","y"
"BIR194205171","shawa103","BIR","8","2","value","1","0","0","0","0","0","0","0","","0","0","0","","0","","","0","","1","","19420517","1","BIR01","CAG","L","regular","y"
"BIR194205171","shawa103","BIR","8","2","lower","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420517","1","BIR01","CAG","L","regular","y"
"BIR194205171","shawa103","BIR","8","2","upper","1","0","0","0","0","0","0","0","","0","","","","0","","","0","","","","19420517","1","BIR01","CAG","L","regular","y"
"MEM194308090","shawa103","MEM","","","value","","","","","","","","","","","","","","","","","","","","","19430809","0","LRK02","CVB","L","regular",""
"MEM194308090","shawa103","MEM","","","lower","","","","","","","","","","","","","","","","","","","","","19430809","0","LRK02","CVB","L","regular",""
"MEM194308090","shawa103","MEM","","","upper","","","","","","","","","","","","","","","","","","","","","19430809","0","LRK02","CVB","L","regular",""
