"gid","id","team","d_seq","d_pos","stattype","d_ifouts","d_po","d_a","d_e","d_dp","d_tp","d_pb","d_wp","d_sb","d_cs","d_gs","date","number","site","opp","wl","gametype","box"
"KCM194704272","barnu101","IN9","1","1","value","","","","0","","0","0","","","","1","19470427","2","NOL01","KCM","l","exhibition",""
"KCM194705010","barnu101","IN9","1","1","value","14","1","0","0","0","0","","","","","1","19470501","0","OKC02","KCM","l","exhibition","y"
"MEM194705060","barnu101","IN9","1","1","value","24","","","0","","0","0","","","","1","19470506","0","HOU04","MEM","l","regular",""
"IN9194705112","barnu101","IN9","1","1","value","3","","","0","","0","0","","","","","19470511","2","IND10","CVB","l","regular",""
