"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCM194708032","kaisc101","HOM","1","upper","21","","26","7","2","0","0","3","3","1","","4","0","0","0","0","","","","","","","","19470803","2","KAN05","KCM","W","exhibition","y"
"HOM194708090","kaisc101","HOM","1","value","15","","22","7","2","0","1","4","","0","","6","0","0","0","0","","1","","","1","","1","19470809","0","WIL04","KCM","W","exhibition","y"
"HOM194708090","kaisc101","HOM","1","lower","15","","22","7","2","0","1","4","","0","","6","0","0","0","0","","","","","","","","19470809","0","WIL04","KCM","W","exhibition","y"
"HOM194708090","kaisc101","HOM","1","upper","15","","22","7","2","0","1","4","","0","","6","0","0","0","0","","","","","","","","19470809","0","WIL04","KCM","W","exhibition","y"
"HOM194709011","kaisc101","HOM","1","value","27","","","","","","","3","","","","","","","","","","1","","","1","","1","19470901","1","PIT06","PH5","W","regular",""
"HOM194709011","kaisc101","HOM","1","lower","27","","","","","","","3","","","","","","","","","","","","","","","","19470901","1","PIT06","PH5","W","regular",""
"HOM194709011","kaisc101","HOM","1","upper","27","","","","","","","3","","","","","","","","","","","","","","","","19470901","1","PIT06","PH5","W","regular",""
"BIR194709100","kaisc101","HOM","1","value","27","","","15","","","","4","4","","","","","","","","","1","","","1","","1","19470910","0","IND10","BIR","W","exhibition",""
"BIR194709100","kaisc101","HOM","1","lower","27","","","15","","","","4","4","","","","","","","","","","","","","","","19470910","0","IND10","BIR","W","exhibition",""
"BIR194709100","kaisc101","HOM","1","upper","27","","","15","","","","4","4","","","","","","","","","","","","","","","19470910","0","IND10","BIR","W","exhibition",""
"MEM194709250","kaisc101","HOM","1","value","27","","","11","","","","3","","","","","","","","","","1","","","1","","1","19470925","0","LRK02","MEM","W","exhibition",""
"MEM194709250","kaisc101","HOM","1","lower","27","","","11","","","","3","","","","","","","","","","","","","","","","19470925","0","LRK02","MEM","W","exhibition",""
"MEM194709250","kaisc101","HOM","1","upper","27","","","11","","","","3","","","","","","","","","","","","","","","","19470925","0","LRK02","MEM","W","exhibition",""
