"gid","id","team","b_lp","b_seq","stattype","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"IN9194808152","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19480815","2","LOU05","KCM","T","regular",""
"IN9194808200","godim101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","19480820","0","COL05","CAG","W","regular",""
"IN9194808200","godim101","IN9","","","lower","","","","","","","","","","","","","","","","","","","","","19480820","0","COL05","CAG","W","regular",""
"IN9194808200","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19480820","0","COL05","CAG","W","regular",""
"IN9194808240","godim101","IN9","","","value","","","","","","","","","","","","","","","","","","","","","19480824","0","RCI01","NY5","W","exhibition",""
"IN9194808240","godim101","IN9","","","lower","","","","","","","","","","","","","","","","","","","","","19480824","0","RCI01","NY5","W","exhibition",""
"IN9194808240","godim101","IN9","","","upper","","","","","","","","","","","","","","","","","","","","","19480824","0","RCI01","NY5","W","exhibition",""
"PH5194809082","godim101","IN9","9","1","value","0","0","0","0","0","0","","0","","0","0","","","0","","","","","","","19480908","2","PHI11","PH5","L","exhibition","y"
"PH5194809082","godim101","IN9","9","1","lower","","0","0","","","","","","","","","","","","","","","","","","19480908","2","PHI11","PH5","L","exhibition","y"
"PH5194809082","godim101","IN9","9","1","upper","","0","0","","","","","","","","","","","","","","","","","","19480908","2","PHI11","PH5","L","exhibition","y"
