"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"KCM194407240","mcmew101","CVB","1","value","2","","7","3","1","","0","3","","2","","","0","0","0","","","","","","1","","","19440724","0","KAN05","KCM","W","regular","y"
"KCM194407240","mcmew101","CVB","1","lower","2","","","3","1","","0","3","","","","","0","0","0","","","","","","","","","19440724","0","KAN05","KCM","W","regular","y"
"KCM194407240","mcmew101","CVB","1","upper","2","","","3","1","","0","3","","","","","0","0","0","","","","","","","","","19440724","0","KAN05","KCM","W","regular","y"
"CVB194504240","mcmew101","CAG","1","value","","","","","","","","","","","","","","","","","","","","","1","","","19450424","0","FTW01","CVB","W","exhibition",""
"CVB194504240","mcmew101","CAG","1","lower","","","","","","","","","","","","","","","","","","","","","","","","19450424","0","FTW01","CVB","W","exhibition",""
"CVB194504240","mcmew101","CAG","1","upper","","","","","","","","","","","","","","","","","","1","","","","","","19450424","0","FTW01","CVB","W","exhibition",""
"CAG194505290","mcmew101","CAG","2","value","12","","19","6","","","0","4","","0","","1","0","0","0","","","","1","","","1","","19450529","0","RAC01","KCM","L","regular","y"
"CAG194505290","mcmew101","CAG","2","lower","12","","","","","","0","","","0","","1","0","0","0","","","","","","","","","19450529","0","RAC01","KCM","L","regular","y"
"CAG194505290","mcmew101","CAG","2","upper","12","","","","","","0","","","0","","1","0","0","0","","","","","","","","","19450529","0","RAC01","KCM","L","regular","y"
"CAG194505310","mcmew101","CAG","1","value","27","","40","10","0","0","1","6","","4","","4","0","0","0","3","","","1","","1","","1","19450531","0","SPR03","KCM","L","regular","y"
"CAG194505310","mcmew101","CAG","1","lower","27","","40","10","0","0","1","6","","4","","4","0","0","0","2","","","","","","","","19450531","0","SPR03","KCM","L","regular","y"
"CAG194505310","mcmew101","CAG","1","upper","27","","41","10","0","0","1","6","","4","","4","0","0","0","3","","","","","","","","19450531","0","SPR03","KCM","L","regular","y"
"CVB194506180","mcmew101","CAG","2","value","","","","","","","","","","","","","","","","","","","","","","1","","19450618","0","DAY03","CVB","L","regular",""
"CVB194506180","mcmew101","CAG","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19450618","0","DAY03","CVB","L","regular",""
"CVB194506180","mcmew101","CAG","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19450618","0","DAY03","CVB","L","regular",""
"CAG194506241","mcmew101","CAG","3","value","5","","11","5","","","0","3","","1","","1","0","0","0","0","","","","","","1","","19450624","1","CHI10","CVB","L","regular","y"
"CAG194506241","mcmew101","CAG","3","lower","5","","","5","","","0","3","","1","","1","0","0","0","","","","","","","","","19450624","1","CHI10","CVB","L","regular","y"
"CAG194506241","mcmew101","CAG","3","upper","5","","","5","","","0","3","","1","","1","0","0","0","","","","","","","","","19450624","1","CHI10","CVB","L","regular","y"
"KCM194507292","mcmew101","CAG","1","value","21","","30","10","1","0","0","1","1","1","","","0","0","0","0","","1","","","1","","1","19450729","2","KAN05","KCM","W","exhibition","y"
"KCM194507292","mcmew101","CAG","1","lower","21","","29","10","1","0","0","1","1","","","","0","0","0","0","","","","","","","","19450729","2","KAN05","KCM","W","exhibition","y"
"KCM194507292","mcmew101","CAG","1","upper","21","","30","10","1","0","0","1","1","","","","0","0","0","0","","","","","","","","19450729","2","KAN05","KCM","W","exhibition","y"
"CVB194509022","mcmew101","CAG","2","value","","","","","","","","","","","","","","","","","","","","","","1","","19450902","2","CLE06","CVB","L","regular",""
"CVB194509022","mcmew101","CAG","2","lower","","","","","","","","","","","","","","","","","","","","","","","","19450902","2","CLE06","CVB","L","regular",""
"CVB194509022","mcmew101","CAG","2","upper","","","","","","","","","","","","","","","","","","","","","","","","19450902","2","CLE06","CVB","L","regular",""
