"gid","id","team","b_lp","b_seq","stattype","b_pa","b_ab","b_r","b_h","b_d","b_t","b_hr","b_rbi","b_sh","b_sf","b_hbp","b_w","b_iw","b_k","b_sb","b_cs","b_gdp","b_xi","b_roe","dh","ph","pr","date","number","site","opp","wl","gametype","box"
"CVB194606091","duffu101","KCM","8","1","value","4","4","0","2","0","0","0","0","0","","0","0","0","","0","","","0","","","","","19460609","1","CLE06","CVB","l","regular","y"
"CVB194606120","duffu101","KCM","7","1","value","4","4","0","2","0","1","0","2","0","","0","0","0","","0","","","0","","","","","19460612","0","DCT02","CVB","w","regular","y"
