"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"MEM194410060","campr102","BLG","1","value","27","","","","","","","2","","","","","","","","","","","","","1","","","1","","1","19441006","0","FTW01","MEM","w","exhibition",""
"BLG194506140","campr102","BLG","1","value","27","","37","5","0","1","1","6","","3","","10","1","0","0","0","","","","","1","","","1","","1","19450614","0","YOR03","NW2","w","regular","y"
"BLG194509040","campr102","BLG","1","value","19","","30","8","0","0","0","6","","3","0","6","0","0","0","","0","","","","","","","1","","","19450904","0","BAL14","NY6","w","regular","y"
