"gid","id","team","p_seq","stattype","p_ipouts","p_noout","p_bfp","p_h","p_d","p_t","p_hr","p_r","p_er","p_w","p_iw","p_k","p_hbp","p_wp","p_bk","p_sh","p_sf","p_sb","p_cs","p_pb","wp","lp","save","gs","gf","cg","date","number","site","opp","wl","gametype","box"
"MEM194406050","hardl104","CVB","1","value","21","","","4","","","","1","1","","","","","","","","","","","","1","","","1","","","19440605","0","NOL01","MEM","w","regular",""
"KCM194406140","hardl104","CVB","1","value","24","","","1","","","1","5","","","","","","","","","","","","","","1","","1","","1","19440614","0","MTG01","KCM","l","regular",""
"CVB194406240","hardl104","CVB","1","value","27","","","10","","","","3","","","","","","","","","","","","","1","","","1","","1","19440624","0","IND10","CAG","w","regular",""
"CVB194406292","hardl104","CVB","1","value","21","","","8","","","","4","","","","","","","","","","","","","","1","","1","","1","19440629","2","SYR04","CAG","l","regular",""
"CVB194407070","hardl104","CVB","1","value","27","","","4","","","","2","","","","","","","","","","","","","1","","","1","","1","19440707","0","DAY03","MEM","w","regular",""
"CVB194407130","hardl104","CVB","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19440713","0","DAY03","MEM","w","regular",""
"MEM194407190","hardl104","CVB","1","value","21","","","","","","","4","","","","","","","","","","","","","1","","","1","","","19440719","0","LRK02","MEM","w","regular",""
"KCM194407240","hardl104","CVB","2","value","7","","11","3","0","0","0","3","","2","0","","0","0","0","","0","","","","","","","","","","19440724","0","KAN05","KCM","w","regular","y"
"CIA194407310","hardl104","CVB","1","value","27","","","3","","","","0","0","","","","","","","","","","","","1","","","1","","1","19440731","0","DAY03","CIA","w","regular",""
"CIA194408070","hardl104","CVB","1","value","27","","","3","","","","2","","","","","","","","","","","","","1","","","1","","1","19440807","0","DAY03","CIA","w","regular",""
"CVB194408150","hardl104","CVB","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19440815","0","DAY03","CAG","l","regular",""
"CVB194408210","hardl104","CVB","1","value","1","","","","","","","4","","","","","","","","","","","","","","1","","1","","","19440821","0","BUF06","CIA","l","regular",""
"CVB194408210","hardl104","CVB","1","upper","3","","","","","","","4","","","","","","","","","","","","","","","","","","","19440821","0","BUF06","CIA","l","regular",""
"CIA194408220","hardl104","CVB","1","value","27","","39","10","2","0","1","5","","1","","","1","0","0","0","","","","","1","","","1","","1","19440822","0","NOR03","CIA","w","regular","y"
"CVB194409031","hardl104","CVB","2","value","24","","","","","","","","","","","","","","","","","","","","1","","","","1","","19440903","1","CLE06","CAG","w","regular",""
"CVB194409031","hardl104","CVB","2","upper","26","","","","","","","","","","","","","","","","","","","","","","","","","","19440903","1","CLE06","CAG","w","regular",""
"CVB194409110","hardl104","CVB","1","value","27","","","12","","","","9","","","","","","","","","","","","","","1","","1","","1","19440911","0","DAY03","HOM","l","exhibition",""
"BLG194409172","hardl104","CVB","1","value","3","","11","5","0","0","0","3","","3","0","1","0","0","0","","0","","","","","1","","1","","","19440917","2","BAL14","BLG","l","exhibition","y"
"CAG194410060","hardl104","CVB","1","value","27","","","9","","","","2","","1","","6","","","","","","","","","1","","","1","","1","19441006","0","OKC02","CAG","w","exhibition",""
"CAG194410082","hardl104","CVB","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19441008","2","LRK02","CAG","w","exhibition",""
"NY6194504081","hardl104","CVB","4","value","3","","6","2","0","0","0","1","","1","0","0","0","0","0","","0","","","","","1","","","","","19450408","1","NOL01","NY6","l","exhibition","y"
"CAG194504160","hardl104","CVB","4","value","3","","","","","","","0","0","","","","","","","","","","","","","","1","","1","","19450416","0","FTW01","CAG","w","exhibition",""
"CAG194504160","hardl104","CVB","4","upper","9","","","","","","","0","0","","","","","","","","","","","","","","","","","","19450416","0","FTW01","CAG","w","exhibition",""
"CVB194504190","hardl104","CVB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19450419","0","HOU04","CAG","l","exhibition",""
"CVB194504240","hardl104","CVB","2","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19450424","0","FTW01","CAG","l","exhibition",""
"CAG194504291","hardl104","CVB","2","value","3","","7","1","0","0","0","1","","3","0","0","0","0","0","0","0","","","","","","","","","","19450429","1","NOL01","CAG","w","exhibition","y"
"CVB194504292","hardl104","CVB","1","value","21","","","7","","","","4","","","","","","","","","","","","","1","","","1","","1","19450429","2","NOL01","CAG","w","exhibition",""
"BIR194505062","hardl104","CVB","3","value","","","","","","","","","","","","","","","","","","","","","","","","","1","","19450506","2","BIR01","BIR","l","regular",""
"MEM194506150","hardl104","CVB","1","value","27","","","6","","","","1","","","","","","","","","","","","","1","","","1","","1","19450615","0","MEM02","MEM","w","regular",""
"CVB194507170","hardl104","CVB","1","value","27","","","13","","","","6","","","","","","","","","","","","","","1","","1","","1","19450717","0","COL05","BIR","l","regular",""
"NY6194507292","hardl104","CVB","1","value","24","","","6","1","","","3","","1","","","1","","","","","","","","","1","","1","","1","19450729","2","NYC14","NY6","l","exhibition",""
"CAG194508051","hardl104","CVB","2","value","2","","3","1","0","0","0","0","","0","0","0","0","0","0","","0","","","","","","1","","1","","19450805","1","DET04","CAG","w","regular","y"
"CAG194508052","hardl104","CVB","1","value","15","","","2","","1","","2","","","","","","","","","","","","","1","","","1","","1","19450805","2","DET04","CAG","w","regular",""
"NW2194508122","hardl104","CVB","1","value","21","","28","4","0","0","1","3","3","","0","","0","0","0","0","0","","","","","","","1","","","19450812","2","NWK04","NW2","w","exhibition","y"
"BIR194508230","hardl104","CVB","1","value","","","","","","","","","","","","","","","","","","","","","","1","","1","","","19450823","0","JAC01","BIR","l","regular",""
"CVB194508280","hardl104","CVB","1","value","27","","","","","","","3","","","","","","","","","","","","","1","","","1","","1","19450828","0","BEL01","MEM","w","regular",""
"CVB194508290","hardl104","CVB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19450829","0","DAY03","MEM","w","regular",""
"CAG194509031","hardl104","CVB","1","value","","","","","","","","","","","","","","","","","","","","","","","","1","","","19450903","1","CHI10","CAG","l","regular",""
